run,type,population,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_population=20_seed=1,uncoordinated,20,uncoordinated,1,4773,67,4686,0.985903639806438,0.9932160271358914,67,29.452745570574734,241.3853032244677,1.9409809762719987,0.0,43127,3,0,0,0,0.8647911450891675,0.9136718294619418,231357023.9069355,0.0,0,0.0,0.0,0.0,0.0,62,60,0.012078818436719204,0.6084711238859996,0.8965353247329061,0.0530954779314893,80.39999999999999,0.61
type=uncoordinated_population=20_seed=2,uncoordinated,20,uncoordinated,2,3966,64,3882,0.9837810440952863,0.9938524590163934,64,28.55319362907244,424.9926862496892,1.9225650773860061,0.0,35445,2,0,0,0,0.86451829228596,0.8280323742612777,371457276.5436317,0.0,0,0.0,0.0,0.0,0.0,73,67,0.013413410661379618,0.5447379513121464,0.9442508947115386,0.07613498678073788,76.8,0.54
type=uncoordinated_population=20_seed=3,uncoordinated,20,uncoordinated,3,4057,76,3961,0.9811741392122864,0.9924830869456277,76,36.07156120724733,247.43700070324627,1.935925343912908,0.0,36479,0,0,0,0,0.8292422362259061,0.9460909821328398,338433318.62579244,0.0,0,0.0,0.0,0.0,0.0,80,79,0.016414571883155624,0.6065015342543969,0.9301797685719374,0.09540403531560342,91.2,0.6
type=uncoordinated_population=20_seed=4,uncoordinated,20,uncoordinated,4,3251,55,3176,0.982977406375735,0.9924953095684803,55,40.875295517717404,725.2958243928359,1.9257810315535842,0.0,29523,4,0,0,0,0.8731513092997047,0.8526388944629586,342378850.77542627,0.0,0,0.0,0.0,0.0,0.0,73,70,0.014753731485424955,0.5391149248305573,0.9481908518340456,0.07480196478357239,66.0,0.51
type=uncoordinated_population=20_seed=5,uncoordinated,20,uncoordinated,5,4076,71,3985,0.9824950690335306,0.9922789539227895,71,40.49517948717971,359.63777606200176,1.9161459413656121,0.0,36901,2,0,0,0,0.8611814085550275,0.908470994641903,337398010.79586864,0.0,0,0.0,0.0,0.0,0.0,74,67,0.015773056993539748,0.6053189521498525,0.9340202588319089,0.07368397570095733,85.2,0.6
type=uncoordinated_population=50_seed=1,uncoordinated,50,uncoordinated,1,25681,38,25593,0.9985174203113417,0.9993752196493421,38,26.124272624961066,142.05914643071725,1.9426878697379453,0.0,228597,2,0,0,0,0.9335087412307429,0.9786754690300106,250475371.7997603,0.0,0,0.0,0.0,0.0,0.0,54,51,0.001263526037108097,0.2397679348468369,0.9397466322471512,0.05277814547959299,45.6,3.34
type=uncoordinated_population=50_seed=2,uncoordinated,50,uncoordinated,2,24444,55,24339,0.9977453472165286,0.998645931640064,55,30.817422915947645,267.3257002726491,1.9109678962319776,0.0,217034,6,0,0,0,0.9148063175441475,0.9828470166091032,274538744.00994843,0.0,0,0.0,0.0,0.0,0.0,71,67,0.002028688458728946,0.39312566652585873,0.9574964885683761,0.05993401648989591,66.0,3.45
type=uncoordinated_population=50_seed=3,uncoordinated,50,uncoordinated,3,25547,46,25451,0.998195866180335,0.9991363404388961,46,22.52150654312186,371.7815858066947,1.9507329455502986,0.0,227187,2,0,0,0,0.9369083894213338,0.9643002275481259,197989804.47370908,0.0,0,0.0,0.0,0.0,0.0,63,63,0.001618789497029777,0.29504216754606744,0.923911873005698,0.05170511446207101,55.199999999999996,3.5
type=uncoordinated_population=50_seed=4,uncoordinated,50,uncoordinated,4,26026,35,25941,0.9986526024022174,0.9992680765823029,35,24.172321770649887,332.79787493925085,1.9356137929944477,0.0,231690,0,0,0,0,0.9497694644631238,0.9647532506748299,197949064.69388303,0.0,0,0.0,0.0,0.0,0.0,64,62,0.0012114159828344854,0.2680695760575262,0.9478183620726497,0.04703005117452802,42.0,3.88
type=uncoordinated_population=50_seed=5,uncoordinated,50,uncoordinated,5,24820,47,24723,0.9981025433992733,0.9992724627137141,47,26.07103993177907,216.9325509449209,1.931729417262131,0.0,221412,9,0,0,0,0.9357652374731236,0.9672992441648631,259176384.64648786,0.0,0,0.0,0.0,0.0,0.0,61,60,0.0015310982062258752,0.27040363349413554,0.9041317693198007,0.04287577555079499,56.4,3.57
type=reactive_gate_population=5_seed=1,reactive_gate,5,reactive_gate,1,18,14,0,0.0,0.0,14,245.6654356341923,1197.1074524241517,0.0,0.0,0,6,0,0,0,0.0,0.3026300161555597,455411036.80907726,0.0,0,0.0,0.0,0.0,0.0,12,12,0.6195046838923708,0.6195046838923708,0.12594834334045585,0.0322274108773212,16.8,0.01
type=reactive_gate_population=5_seed=2,reactive_gate,5,reactive_gate,2,29,25,0,0.0,nan,25,124.4438633151317,1438.539389952326,0.0,0.0,0,8,0,0,0,0.0,0.0,192736844.0661736,0.0,0,0.0,0.0,0.0,0.0,11,11,0.7448603998272797,0.7448603998272797,0.1420875391203704,0.025657930794944227,30.0,0.02
type=reactive_gate_population=5_seed=3,reactive_gate,5,reactive_gate,3,32,28,0,0.0,0.0,28,177.64383158457701,922.1727069263111,0.0,0.0,0,7,0,0,0,0.0,0.4247010170519374,372589618.5577432,0.0,0,0.0,0.0,0.0,0.0,11,10,0.8343514911938391,0.8343514911938391,0.16007864152421653,0.025321069613908,33.6,0.01
type=reactive_gate_population=5_seed=4,reactive_gate,5,reactive_gate,4,47,42,0,0.0,0.0,42,121.07119133029676,1277.8328605064485,0.0,0.0,0,2,0,0,0,0.0,0.0,420196607.1017213,0.0,0,0.0,0.0,0.0,0.0,15,15,0.8495365883116505,0.8495365883116505,0.1896011930555556,0.0394550309424605,50.4,0.02
type=reactive_gate_population=5_seed=5,reactive_gate,5,reactive_gate,5,35,31,0,0.0,0.0,31,166.74747086315915,1286.4201744921813,0.0,0.0,0,4,0,0,0,0.0,0.0,372686949.06191945,0.0,0,0.0,0.0,0.0,0.0,14,13,0.8787118756487959,0.8787118756487959,0.17413013573717948,0.031090811852793502,37.199999999999996,0.01
type=reactive_gate_population=10_seed=1,reactive_gate,10,reactive_gate,1,43,33,1,0.029411764705882353,0.0,33,176.98346762498068,1378.9028230591157,6.302030707733559,0.0,0,14,0,0,0,0.013020262485698701,0.33122107032915427,816785662.7221658,0.0,0,0.0,0.0,0.0,0.0,28,28,0.5982284804639876,0.6442460558842943,0.25138708141025645,0.053659446462404455,39.6,0.03
type=reactive_gate_population=10_seed=2,reactive_gate,10,reactive_gate,2,58,49,0,0.0,nan,49,165.83396581196575,1264.6686378287723,0.0,0.0,0,15,0,0,0,0.0,0.08811950292291093,267287725.66144207,0.0,0,0.0,0.0,0.0,0.0,22,21,0.6298435426811224,0.6298435426811224,0.32381351011396015,0.04835309536983333,58.8,0.03
type=reactive_gate_population=10_seed=3,reactive_gate,10,reactive_gate,3,68,59,0,0.0,0.0,59,137.13948963153598,1031.6936503879292,17.45494345584283,0.0,0,14,0,0,0,0.0,0.4471062768158687,564366547.2835997,0.0,0,0.0,0.0,0.0,0.0,26,24,0.7901113412215142,0.7901113412215142,0.33069684136396016,0.04623721766740926,70.8,0.03
type=reactive_gate_population=10_seed=4,reactive_gate,10,reactive_gate,4,80,70,0,0.0,0.0,70,119.4160860448136,1448.912293820555,18.585767591530285,0.0,0,5,0,0,0,0.0,0.11638741192140048,948543394.8865472,0.0,0,0.0,0.0,0.0,0.0,31,30,0.8295155868879788,0.8295155868879788,0.3653341298789174,0.07098112746579748,84.0,0.03
type=reactive_gate_population=10_seed=5,reactive_gate,10,reactive_gate,5,60,53,0,0.0,0.0,53,157.942168498274,1384.2484249723345,0.0,0.0,0,9,0,0,0,0.0,0.14339995640068737,887800373.1152455,0.0,0,0.0,0.0,0.0,0.0,28,26,0.8767219070647754,0.8767219070647754,0.3247318249465812,0.055838837565392395,63.599999999999994,0.03
type=reactive_gate_population=20_seed=1,reactive_gate,20,reactive_gate,1,97,77,1,0.01282051282051282,0.0,77,155.40230196478478,2010.032026863094,229.33207182524478,11.343883760683752,0,31,0,0,0,0.006284082777495944,0.21810064542464555,1288677535.2743692,0.0,0,0.0,0.0,0.0,0.0,51,51,0.6878780384592504,0.7115979708199143,0.492967856445869,0.09366633709276319,92.39999999999999,0.05
type=reactive_gate_population=20_seed=2,reactive_gate,20,reactive_gate,2,112,94,0,0.0,0.0,94,154.1826368433617,978.5786848926858,61.172220193889615,17.253540774000157,0,33,0,0,0,0.0,0.1284398063889124,633569699.9325247,0.0,0,0.0,0.0,0.0,0.0,52,51,0.7407056345523971,0.7407056345523971,0.6456248721866098,0.09520397025609281,112.8,0.06
type=reactive_gate_population=20_seed=3,reactive_gate,20,reactive_gate,3,98,81,1,0.012195121951219513,0.0,81,137.30836701006183,1035.602425699638,139.50315360021276,11.295238184696359,0,33,0,0,0,0.012992186711983659,0.42913473134836533,1037102987.0817909,0.0,0,0.0,0.0,0.0,0.0,53,51,0.6967785432483157,0.7132663520920897,0.5015850554131055,0.07201991645086944,97.19999999999999,0.06
type=reactive_gate_population=20_seed=4,reactive_gate,20,reactive_gate,4,113,93,0,0.0,0.0,93,146.03050103361943,1805.2247793140114,177.97238503696283,34.54384736289785,0,24,0,0,0,0.0,0.14810226307500332,1354101705.987451,0.0,0,0.0,0.0,0.0,0.0,42,42,0.7045132687741394,0.7045132687741394,0.5547389097222223,0.1075638836570269,111.6,0.06
type=reactive_gate_population=20_seed=5,reactive_gate,20,reactive_gate,5,101,86,0,0.0,0.0,86,153.3303974670098,1271.2436116122312,77.60231103762054,6.576952379254635,0,28,0,0,0,0.0,0.3208993285981385,1102553390.590423,0.0,0,0.0,0.0,0.0,0.0,52,50,0.754923000346572,0.754923000346572,0.527436710701567,0.08908814295913225,103.19999999999999,0.05
type=reactive_gate_population=50_seed=1,reactive_gate,50,reactive_gate,1,131,93,2,0.021052631578947368,0.0,93,189.18331153846157,1597.7645433734085,216.44288918724038,600.0,0,153,0,0,0,0.005919848806893063,0.4631688504132557,911131203.5468061,0.0,0,0.0,0.0,0.0,0.0,59,58,0.4860516407572898,0.49841130978229303,0.6694410041132479,0.09145936598865664,111.6,0.09
type=reactive_gate_population=50_seed=2,reactive_gate,50,reactive_gate,2,147,110,2,0.017857142857142856,0.0,110,165.26413219589233,1189.252536449375,304.13951886213334,537.7477487559711,0,138,0,0,0,0.008874583609728813,0.18499110726657067,798352783.6137811,0.0,0,0.0,0.0,0.0,0.0,67,65,0.5916966269542695,0.6045353209021748,0.730054784437322,0.12391471653924704,132.0,0.11
type=reactive_gate_population=50_seed=3,reactive_gate,50,reactive_gate,3,127,84,4,0.045454545454545456,0.11764705882352941,84,147.57932863247868,1515.2759352032301,423.52135598987684,600.0000000000002,0,140,0,0,0,0.005924731640477842,0.116178104306677,860178902.8664479,0.0,0,0.0,0.0,0.0,0.0,64,62,0.43783044458636294,0.46508721199336295,0.61901907619302,0.10711011142943062,100.8,0.11
type=reactive_gate_population=50_seed=4,reactive_gate,50,reactive_gate,4,138,93,3,0.03125,0.06666666666666667,93,147.18690238776298,1135.121443043437,296.1494047619146,600.0,0,129,0,0,0,0.008170820094092054,0.24307269459199052,966790068.1667355,0.0,0,0.0,0.0,0.0,0.0,66,64,0.4126217365860127,0.42485405999466913,0.7111191683582622,0.11724337240199437,111.6,0.11
type=reactive_gate_population=50_seed=5,reactive_gate,50,reactive_gate,5,126,86,1,0.011494252873563218,0.2,86,249.24902751462423,1901.3791613697201,441.7950575333496,600.0000000000002,0,131,0,0,0,0.0009843259674889033,0.266625313107164,851116041.0000638,0.0,0,0.0,0.0,0.0,0.0,64,61,0.48181658336107763,0.4859831546267744,0.6706816317485755,0.09009784459842654,103.19999999999999,0.11
type=clairvoyant_population=5_seed=1,clairvoyant,5,clairvoyant,1,22,17,0,0.0,0.0,17,231.66601784625084,1180.9616748146937,0.0,0.0,0,4,0,0,0,0.0,0.35420595453059295,1811901.8137763382,0.0,0,0.0,0.0,0.0,0.0,12,12,0.6296786718050736,0.6296786718050736,0.14258605760327636,0.03400758394778985,20.4,0.01
type=clairvoyant_population=5_seed=2,clairvoyant,5,clairvoyant,2,36,31,0,0.0,0.0,31,154.53156470562953,1385.6110896048933,0.0,0.0,0,2,0,0,0,0.0,0.191536452159437,19585542.493602943,0.0,0,0.0,0.0,0.0,0.0,17,16,0.7024736033623387,0.7024736033623387,0.1920969107371795,0.03949531504718416,37.199999999999996,0.01
type=clairvoyant_population=5_seed=3,clairvoyant,5,clairvoyant,3,35,31,0,0.0,0.0,31,185.00398731911014,1188.8532204835192,0.0,0.0,0,4,0,0,0,0.0,0.3483936520450749,82222072.96304432,0.0,0,0.0,0.0,0.0,0.0,11,10,0.93919535483826,0.93919535483826,0.17401631169871795,0.03498598925897494,37.199999999999996,0.01
type=clairvoyant_population=5_seed=4,clairvoyant,5,clairvoyant,4,53,48,0,0.0,0.0,48,121.07119133029676,1267.4626916442562,0.0,0.0,0,1,0,0,0,0.0,0.10397874867772251,86647486.37822585,0.0,0,0.0,0.0,0.0,0.0,15,15,0.865611257989357,0.865611257989357,0.21196717111823363,0.040356954766056635,57.599999999999994,0.02
type=clairvoyant_population=5_seed=5,clairvoyant,5,clairvoyant,5,43,38,0,0.0,0.0,38,168.17747315533302,1470.3658856667878,0.0,0.0,0,0,0,0,0,0.0,0.0,7301733.84203542,0.0,0,0.0,0.0,0.0,0.0,21,19,0.9208162745831945,0.9208162745831945,0.22779818981481484,0.03840580021931396,45.6,0.02
type=clairvoyant_population=10_seed=1,clairvoyant,10,clairvoyant,1,50,40,0,0.0,0.0,40,189.94705509538062,1179.9928603088476,0.0,0.0,0,8,0,0,0,0.0,0.3738898356589957,9718420.089240294,0.0,0,0.0,0.0,0.0,0.0,32,32,0.7203461831566865,0.7203461831566865,0.3063329999465812,0.0625708746892578,48.0,0.03
type=clairvoyant_population=10_seed=2,clairvoyant,10,clairvoyant,2,73,63,0,0.0,0.0,63,165.83396581196575,1133.302895751915,0.0,0.0,0,5,0,0,0,0.0,0.1693942113871342,30327156.455214635,0.0,0,0.0,0.0,0.0,0.0,32,31,0.7020345675327457,0.7020345675327457,0.4059967474537037,0.06873756646600641,75.6,0.03
type=clairvoyant_population=10_seed=3,clairvoyant,10,clairvoyant,3,80,71,0,0.0,0.0,71,128.18042089599976,1041.1629461474017,2.3986263637731495,0.0,0,8,0,0,0,0.0,0.3955431796946705,88477652.27805296,0.0,0,0.0,0.0,0.0,0.0,31,29,0.8902991892016079,0.8902991892016079,0.39233596702279205,0.05716607149901686,85.2,0.03
type=clairvoyant_population=10_seed=4,clairvoyant,10,clairvoyant,4,89,79,0,0.0,0.0,79,119.82045276127837,1394.0086130982759,0.0,0.0,0,5,0,0,0,0.0,0.20512676444651437,89273255.34042571,0.0,0,0.0,0.0,0.0,0.0,31,30,0.839374164948769,0.839374164948769,0.38816501077279203,0.07246307125798271,94.8,0.03
type=clairvoyant_population=10_seed=5,clairvoyant,10,clairvoyant,5,75,66,0,0.0,0.0,66,167.1295567889798,1436.1359476453315,0.0,0.0,0,2,0,0,0,0.0,0.11540673458375045,324617902.28380215,0.0,0,0.0,0.0,0.0,0.0,38,35,0.9131636227929733,0.9131636227929733,0.40170618468660974,0.07154716421349447,79.2,0.03
type=clairvoyant_population=20_seed=1,clairvoyant,20,clairvoyant,1,114,94,0,0.0,0.0,94,219.6876811966829,1671.6326028407775,190.4122287415629,21.187666284060583,0,19,0,0,0,0.0,0.30020878808075074,392594688.9391391,0.0,0,0.0,0.0,0.0,0.0,61,61,0.7188679868172906,0.7188679868172906,0.5897788812143875,0.09787395510179264,112.8,0.05
type=clairvoyant_population=20_seed=2,clairvoyant,20,clairvoyant,2,133,115,0,0.0,0.0,115,179.06001902858452,1079.821104201611,85.27255316920525,71.9672333333333,0,15,0,0,0,0.0,0.10217810254982458,260286967.9978663,0.0,0,0.0,0.0,0.0,0.0,65,63,0.8206497431951025,0.8206497431951025,0.7398093343482905,0.12324378208677503,138.0,0.06
type=clairvoyant_population=20_seed=3,clairvoyant,20,clairvoyant,3,134,116,0,0.0,0.0,116,124.05477754507694,1408.5431414116626,62.64757696060746,53.74176326179031,0,27,0,0,0,0.0,0.4326502919845784,583582895.6146289,0.0,0,0.0,0.0,0.0,0.0,66,64,0.8219083103701742,0.8219083103701742,0.684268004380342,0.07951602141213299,139.2,0.06
type=clairvoyant_population=20_seed=4,clairvoyant,20,clairvoyant,4,140,120,0,0.0,0.0,120,127.46136615471221,1673.0987620769076,96.98640739288113,33.94901233444671,0,20,0,0,0,0.0,0.21523842028915585,310764662.2213089,0.0,0,0.0,0.0,0.0,0.0,58,58,0.7067293163563597,0.7067293163563597,0.6912009648504274,0.10229533635110702,144.0,0.06
type=clairvoyant_population=20_seed=5,clairvoyant,20,clairvoyant,5,121,103,0,0.0,0.0,103,170.58946877584071,1255.1455931047335,133.00217840872216,10.937451627783048,0,15,0,0,0,0.0,0.30534136801156636,882476202.8296382,0.0,0,0.0,0.0,0.0,0.0,61,59,0.7577740364167531,0.7577740364167531,0.6325499227029915,0.10624401904710026,123.6,0.05
type=clairvoyant_population=50_seed=1,clairvoyant,50,clairvoyant,1,143,107,1,0.009259259259259259,0.0,107,226.04646580834606,1754.324156148267,251.15760955139422,600.0000000000001,0,145,0,0,0,0.002565837133494648,0.42116761880166076,823036519.2207618,0.0,0,0.0,0.0,0.0,0.0,61,61,0.5948029898170586,0.5921901982661268,0.7358035460470086,0.1156296719496547,128.4,0.09
type=clairvoyant_population=50_seed=2,clairvoyant,50,clairvoyant,2,152,116,2,0.01694915254237288,0.034482758620689655,116,182.5852975576497,1453.1659219014,253.26037907385896,130.3465726197967,0,149,0,0,0,0.00913114747372676,0.22042141242802452,684666590.7264475,0.0,0,0.0,0.0,0.0,0.0,61,58,0.6525961324811128,0.6662402956483522,0.8057196185719373,0.1159871742503164,139.2,0.11
type=clairvoyant_population=50_seed=3,clairvoyant,50,clairvoyant,3,145,99,4,0.038834951456310676,0.0625,99,150.43597709260575,1141.177454420438,267.1479962246381,600.0000000000002,0,155,0,0,0,0.010043108168952384,0.24891439869175577,464360007.0655776,0.0,0,0.0,0.0,0.0,0.0,69,68,0.4671568620609572,0.4957732179718236,0.7615053202279204,0.0987795784661952,118.8,0.11
type=clairvoyant_population=50_seed=4,clairvoyant,50,clairvoyant,4,154,110,3,0.02654867256637168,0.07142857142857142,110,170.05082850700182,1449.8964398339724,228.95889294862025,581.9846405997114,0,133,0,0,0,0.008438484834355456,0.227126740185645,658880753.6997755,0.0,0,0.0,0.0,0.0,0.0,86,84,0.4930343588381553,0.5118342817242615,0.8141612886752136,0.12808398981568775,132.0,0.12
type=clairvoyant_population=50_seed=5,clairvoyant,50,clairvoyant,5,140,104,2,0.018867924528301886,0.25,104,227.5630004830012,1377.7079008320509,268.97426787375844,600.0000000000002,0,144,0,0,0,0.00318754871706043,0.21950509449063707,1020742801.0823009,0.0,0,0.0,0.0,0.0,0.0,67,63,0.5459458389492065,0.5662842371961951,0.7447900632478633,0.09981381294166548,124.8,0.11
