run,type,rate_per_min,think_snr,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=uncoordinated_rate_per_min=1.0_think_snr=0.9_seed=1,uncoordinated,1.0,0.9,uncoordinated,1,373,331,6,0.017804154302670624,0.054945054945054944,331,177.10821607813432,2471.055045883716,3.746751077008513,600.0000000000005,0,96,0,0,0,0.007861746244099384,0.3850114083811012,4523621551.518825,0.0,0,0.0,0.0,0.0,0.0,209,63,0.6407266864883412,0.6618457318308856,0.37267889963335277,0.190112358750329,180.54545454545456,0.1
type=uncoordinated_rate_per_min=1.0_think_snr=0.9_seed=2,uncoordinated,1.0,0.9,uncoordinated,2,407,341,4,0.011594202898550725,0.05555555555555555,341,173.11141660292014,2113.0427465635544,6.935210998491534,600.0000000000005,0,81,1,0,0,0.0023913170204188415,0.3338111606265333,2986447931.0447874,0.0,0,0.0,0.0,0.0,0.0,186,43,0.5801667673031194,0.5909673454117823,0.42650036145509584,0.21066544700290868,186.0,0.12
type=uncoordinated_rate_per_min=1.0_think_snr=0.9_seed=3,uncoordinated,1.0,0.9,uncoordinated,3,423,357,7,0.019230769230769232,0.06896551724137931,357,78.62911074769909,1637.2335685138082,0.0,600.0,0,93,0,0,0,0.007005997175330223,0.4335620642005368,5323470646.97599,0.0,0,0.0,0.0,0.0,0.0,149,44,0.6247449257445878,0.6420099506838005,0.3427543164416602,0.2112811532886703,194.72727272727275,0.11
type=uncoordinated_rate_per_min=1.0_think_snr=0.9_seed=4,uncoordinated,1.0,0.9,uncoordinated,4,473,427,2,0.004662004662004662,0.02247191011235955,427,41.378075850978576,1873.4823199699906,0.0,600.0,0,63,0,0,0,0.004686868285755127,0.36122300430526005,4599320289.254004,0.0,0,0.0,0.0,0.0,0.0,155,53,0.7103801038943051,0.7194875411237193,0.37095934882883325,0.19763349888637033,232.9090909090909,0.11
type=uncoordinated_rate_per_min=1.0_think_snr=0.9_seed=5,uncoordinated,1.0,0.9,uncoordinated,5,602,508,10,0.019305019305019305,0.09782608695652174,508,81.40768394064685,2532.0546708256884,7.845823929970046,600.0000000000005,0,223,0,0,0,0.00606031775019213,0.3157656365463488,4945221516.763347,0.0,0,0.0,0.0,0.0,0.0,164,21,0.5243457717067838,0.5469587834441086,0.465199112689394,0.2603408980477706,277.0909090909091,0.16
type=uncoordinated_rate_per_min=2.0_think_snr=0.0_seed=1,uncoordinated,2.0,0.0,uncoordinated,1,616,492,7,0.014028056112224449,0.050359712230215826,492,177.65406354315678,2112.2835308586964,19.270821895753283,600.0000000000005,0,270,1,0,0,0.002067941954940711,0.35660116807734765,3693639531.6735096,0.0,0,0.0,0.0,0.0,0.0,274,32,0.5169424403679067,0.5288416224671106,0.6012413629524411,0.24266542988411247,268.3636363636364,0.19
type=uncoordinated_rate_per_min=2.0_think_snr=0.0_seed=2,uncoordinated,2.0,0.0,uncoordinated,2,686,512,19,0.035781544256120526,0.13380281690140844,512,140.09881831050006,2630.4624959917787,12.2481946426507,600.0000000000005,0,443,3,0,0,0.009741370818828,0.3388566535705316,2996871230.5481787,0.0,0,0.0,0.0,0.0,0.0,247,23,0.4182289692475473,0.4412076848088159,0.5727869068367974,0.27822087316773353,279.2727272727273,0.21
type=uncoordinated_rate_per_min=2.0_think_snr=0.0_seed=3,uncoordinated,2.0,0.0,uncoordinated,3,770,554,34,0.05782312925170068,0.19375,554,73.56534600754162,3081.950479156563,8.840636462053062,600.0000000000005,0,615,0,0,0,0.016124060354335907,0.4396904049251733,4587807695.295256,0.0,0,0.0,0.0,0.0,0.0,276,19,0.3947803496134008,0.4223087505545443,0.5561457757502914,0.24797747259072425,302.1818181818182,0.22
type=uncoordinated_rate_per_min=2.0_think_snr=0.0_seed=4,uncoordinated,2.0,0.0,uncoordinated,4,695,558,10,0.017605633802816902,0.057692307692307696,558,98.94350870239168,1992.786087356778,2.452603770157498,600.0000000000005,0,238,0,0,0,0.013792805678159568,0.31851156789712776,5088354626.529724,0.0,0,0.0,0.0,0.0,0.0,224,19,0.492599331068832,0.5025339652916216,0.5252149844518907,0.2836978157274059,304.3636363636364,0.18
type=uncoordinated_rate_per_min=2.0_think_snr=0.0_seed=5,uncoordinated,2.0,0.0,uncoordinated,5,994,727,49,0.06314432989690721,0.23902439024390243,727,63.4434425661284,4141.704577708869,19.774124835196584,600.0000000000005,0,1203,1,0,0,0.01873001869109793,0.24894730221436323,3844862566.255714,0.0,0,0.0,0.0,0.0,0.0,303,4,0.34329731223501797,0.3783216780995425,0.7183804392887205,0.29895713362840104,396.54545454545456,0.31
type=uncoordinated_rate_per_min=2.0_think_snr=0.5_seed=1,uncoordinated,2.0,0.5,uncoordinated,1,635,509,7,0.013565891472868217,0.04225352112676056,509,198.7340640156781,1830.9061946440715,23.24425910361549,600.0000000000005,0,240,2,0,0,0.013896783002564151,0.3453298287516082,3548301847.855262,0.0,0,0.0,0.0,0.0,0.0,298,11,0.492124369751425,0.49654433114575947,0.6132950121649184,0.23522405965566756,277.6363636363636,0.2
type=uncoordinated_rate_per_min=2.0_think_snr=0.5_seed=2,uncoordinated,2.0,0.5,uncoordinated,2,689,501,26,0.04933586337760911,0.19117647058823528,501,153.63113717948727,2933.037920084306,37.929018015105676,600.0000000000005,0,536,2,0,0,0.013659301437505928,0.2378389944304664,2200852634.7908626,0.0,0,0.0,0.0,0.0,0.0,225,27,0.38673122559848494,0.4151353709408866,0.614307439907893,0.2728547465042254,273.2727272727273,0.23
type=uncoordinated_rate_per_min=2.0_think_snr=0.5_seed=3,uncoordinated,2.0,0.5,uncoordinated,3,762,551,32,0.0548885077186964,0.18181818181818182,551,71.01193644977047,3031.8072488958505,6.57576445518803,600.0000000000005,0,625,0,0,0,0.017130866011881938,0.4831264512657666,4743566155.587354,0.0,0,0.0,0.0,0.0,0.0,251,23,0.3794068766121701,0.4026876499579092,0.5267743536284317,0.2316607134698879,300.54545454545456,0.22
type=uncoordinated_rate_per_min=2.0_think_snr=0.5_seed=4,uncoordinated,2.0,0.5,uncoordinated,4,715,573,9,0.015463917525773196,0.056962025316455694,573,81.3346070097864,1999.5650827184477,1.2485424104550993,600.0000000000005,0,244,0,0,0,0.014629429160853927,0.32598576332400103,5233809295.392366,0.0,0,0.0,0.0,0.0,0.0,201,19,0.48753465612402624,0.4975966313301727,0.5330316803167897,0.2634211243610022,312.54545454545456,0.19
type=uncoordinated_rate_per_min=2.0_think_snr=0.5_seed=5,uncoordinated,2.0,0.5,uncoordinated,5,971,708,48,0.06349206349206349,0.23414634146341465,708,71.14727486239303,4934.734280319319,13.39895225130975,600.0000000000005,0,1190,0,0,0,0.020740793018953946,0.32749787488168597,4235426340.1528735,0.0,0,0.0,0.0,0.0,0.0,286,5,0.3305563435515103,0.3622789824522865,0.6613856478770073,0.2814546698408261,386.1818181818182,0.3
type=uncoordinated_rate_per_min=2.0_think_snr=0.9_seed=1,uncoordinated,2.0,0.9,uncoordinated,1,609,477,8,0.016494845360824743,0.05185185185185185,477,207.1266525414694,2246.035056370087,28.146696988126994,600.0000000000005,0,308,1,0,0,0.01816582439768404,0.31154469268745116,3452450232.498527,0.0,0,0.0,0.0,0.0,0.0,289,9,0.4727294877075626,0.4787401154703896,0.6117666613935833,0.2414653667897197,260.1818181818182,0.2
type=uncoordinated_rate_per_min=2.0_think_snr=0.9_seed=2,uncoordinated,2.0,0.9,uncoordinated,2,684,498,19,0.0367504835589942,0.14074074074074075,498,160.02330983862726,3611.526846535154,10.24512856878265,600.0000000000005,0,492,1,0,0,0.009302466552737107,0.3031643311523123,2953854915.6199217,0.0,0,0.0,0.0,0.0,0.0,258,26,0.3983936598900834,0.4195018328231791,0.5974180682668027,0.26537471706355176,271.6363636363636,0.22
type=uncoordinated_rate_per_min=2.0_think_snr=0.9_seed=3,uncoordinated,2.0,0.9,uncoordinated,3,758,544,33,0.05719237435008666,0.2,544,56.776525875602886,2954.950149191214,3.4386544170698046,600.0000000000005,0,623,0,0,0,0.012650951325851464,0.45280604054636214,5538651702.992593,0.0,0,0.0,0.0,0.0,0.0,229,22,0.39787757892798764,0.4271936855196821,0.49506118765378143,0.2264126095226491,296.72727272727275,0.22
type=uncoordinated_rate_per_min=2.0_think_snr=0.9_seed=4,uncoordinated,2.0,0.9,uncoordinated,4,724,571,16,0.027257240204429302,0.09615384615384616,571,71.02836467074576,2251.4038700835595,1.5228587205783033,600.0000000000005,0,322,0,0,0,0.01586548154133978,0.3517501796761173,5254409361.532712,0.0,0,0.0,0.0,0.0,0.0,206,21,0.4563602355736526,0.4722514321595138,0.5242365066166472,0.2442485456166793,311.45454545454544,0.18
type=uncoordinated_rate_per_min=2.0_think_snr=0.9_seed=5,uncoordinated,2.0,0.9,uncoordinated,5,973,721,46,0.05997392438070404,0.22115384615384615,721,58.31615237727556,3713.3991225324035,14.53249457945094,600.0000000000005,0,1169,0,0,0,0.018529191667870506,0.2409231701087736,4483908250.330435,0.0,0,0.0,0.0,0.0,0.0,274,5,0.3541374443346757,0.3892466016381334,0.6612614370831714,0.30167049186860917,393.2727272727273,0.31
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_seed=1,reactive_gate,1.0,0.0,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_seed=2,reactive_gate,1.0,0.0,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_seed=3,reactive_gate,1.0,0.0,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_seed=4,reactive_gate,1.0,0.0,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_seed=5,reactive_gate,1.0,0.0,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_seed=1,reactive_gate,1.0,0.5,reactive_gate,1,388,345,5,0.014285714285714285,0.045454545454545456,345,135.8869036907472,2106.431825230762,0.0,600.0000000000005,0,76,0,0,0,0.00568240204439524,0.3920279456728536,4816972267.769364,0.0,0,0.0,0.0,0.0,0.0,199,74,0.675127495743016,0.6931704348504992,0.3607955957653458,0.18488387304532067,188.1818181818182,0.1
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_seed=2,reactive_gate,1.0,0.5,reactive_gate,2,413,348,3,0.008547008547008548,0.0410958904109589,348,163.95766619213214,2104.7936349092383,18.24683308467311,600.0,0,51,1,0,0,0.009887878124358037,0.28495081200931943,2823881514.397503,0.0,0,0.0,0.0,0.0,0.0,184,46,0.5984472045510707,0.605716936252495,0.4478095642887206,0.20930045966546376,189.8181818181818,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_seed=3,reactive_gate,1.0,0.5,reactive_gate,3,425,359,5,0.013736263736263736,0.047058823529411764,359,102.24636965811897,1711.2383803150483,6.285067564699541,600.0,0,98,0,0,0,0.004230714343265503,0.4317330509043469,4500526682.0006075,0.0,0,0.0,0.0,0.0,0.0,158,40,0.6160438933364341,0.6261981822586639,0.374218625032375,0.20282153418807186,195.8181818181818,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_seed=4,reactive_gate,1.0,0.5,reactive_gate,4,454,416,2,0.004784688995215311,0.02040816326530612,416,55.43867851186667,1760.0695759279229,0.0,600.0,0,45,0,0,0,0.0034194506676695677,0.3597691993645082,4594190741.368901,0.0,0,0.0,0.0,0.0,0.0,152,65,0.7699602862470545,0.7798315719681705,0.3661870228931948,0.18834839414395077,226.9090909090909,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_seed=5,reactive_gate,1.0,0.5,reactive_gate,5,630,540,9,0.01639344262295082,0.09473684210526316,540,79.3003338383271,2843.7996496276423,1.6647475025544736,600.0000000000005,0,202,0,0,0,0.005580210725494501,0.31359931386965106,4920253319.819556,0.0,0,0.0,0.0,0.0,0.0,175,21,0.5331711978795364,0.5535250681246434,0.47953259790614483,0.2615544920467025,294.54545454545456,0.16
type=reactive_gate_rate_per_min=1.0_think_snr=0.9_seed=1,reactive_gate,1.0,0.9,reactive_gate,1,373,331,6,0.017804154302670624,0.054945054945054944,331,177.10821607813432,2471.055045883716,3.746751077008513,600.0000000000005,0,96,0,0,0,0.007861746244099384,0.3850114083811012,4523621551.518825,0.0,0,0.0,0.0,0.0,0.0,209,63,0.6407266864883412,0.6618457318308856,0.37267889963335277,0.190112358750329,180.54545454545456,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.9_seed=2,reactive_gate,1.0,0.9,reactive_gate,2,407,341,4,0.011594202898550725,0.05555555555555555,341,173.11141660292014,2113.0427465635544,6.935210998491534,600.0000000000005,0,81,1,0,0,0.0023913170204188415,0.3338111606265333,2986447931.0447874,0.0,0,0.0,0.0,0.0,0.0,186,43,0.5801667673031194,0.5909673454117823,0.42650036145509584,0.21066544700290868,186.0,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.9_seed=3,reactive_gate,1.0,0.9,reactive_gate,3,423,357,7,0.019230769230769232,0.06896551724137931,357,78.62911074769909,1637.2335685138082,0.0,600.0,0,93,0,0,0,0.007005997175330223,0.4335620642005368,5323470646.97599,0.0,0,0.0,0.0,0.0,0.0,149,44,0.6247449257445878,0.6420099506838005,0.3427543164416602,0.2112811532886703,194.72727272727275,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.9_seed=4,reactive_gate,1.0,0.9,reactive_gate,4,473,427,2,0.004662004662004662,0.02247191011235955,427,41.378075850978576,1873.4823199699906,0.0,600.0,0,63,0,0,0,0.004686868285755127,0.36122300430526005,4599320289.254004,0.0,0,0.0,0.0,0.0,0.0,155,53,0.7103801038943051,0.7194875411237193,0.37095934882883325,0.19763349888637033,232.9090909090909,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.9_seed=5,reactive_gate,1.0,0.9,reactive_gate,5,602,508,10,0.019305019305019305,0.09782608695652174,508,81.40768394064685,2532.0546708256884,7.845823929970046,600.0000000000005,0,223,0,0,0,0.00606031775019213,0.3157656365463488,4945221516.763347,0.0,0,0.0,0.0,0.0,0.0,164,21,0.5243457717067838,0.5469587834441086,0.465199112689394,0.2603408980477706,277.0909090909091,0.16
type=reactive_gate_rate_per_min=2.0_think_snr=0.0_seed=1,reactive_gate,2.0,0.0,reactive_gate,1,616,492,7,0.014028056112224449,0.050359712230215826,492,177.65406354315678,2112.2835308586964,19.270821895753283,600.0000000000005,0,270,1,0,0,0.002067941954940711,0.35660116807734765,3693639531.6735096,0.0,0,0.0,0.0,0.0,0.0,274,32,0.5169424403679067,0.5288416224671106,0.6012413629524411,0.24266542988411247,268.3636363636364,0.19
type=reactive_gate_rate_per_min=2.0_think_snr=0.0_seed=2,reactive_gate,2.0,0.0,reactive_gate,2,686,512,19,0.035781544256120526,0.13380281690140844,512,140.09881831050006,2630.4624959917787,12.2481946426507,600.0000000000005,0,443,3,0,0,0.009741370818828,0.3388566535705316,2996871230.5481787,0.0,0,0.0,0.0,0.0,0.0,247,23,0.4182289692475473,0.4412076848088159,0.5727869068367974,0.27822087316773353,279.2727272727273,0.21
type=reactive_gate_rate_per_min=2.0_think_snr=0.0_seed=3,reactive_gate,2.0,0.0,reactive_gate,3,770,554,34,0.05782312925170068,0.19375,554,73.56534600754162,3081.950479156563,8.840636462053062,600.0000000000005,0,615,0,0,0,0.016124060354335907,0.4396904049251733,4587807695.295256,0.0,0,0.0,0.0,0.0,0.0,276,19,0.3947803496134008,0.4223087505545443,0.5561457757502914,0.24797747259072425,302.1818181818182,0.23
type=reactive_gate_rate_per_min=2.0_think_snr=0.0_seed=4,reactive_gate,2.0,0.0,reactive_gate,4,695,558,10,0.017605633802816902,0.057692307692307696,558,98.94350870239168,1992.786087356778,2.452603770157498,600.0000000000005,0,238,0,0,0,0.013792805678159568,0.31851156789712776,5088354626.529724,0.0,0,0.0,0.0,0.0,0.0,224,19,0.492599331068832,0.5025339652916216,0.5252149844518907,0.2836978157274059,304.3636363636364,0.18
type=reactive_gate_rate_per_min=2.0_think_snr=0.0_seed=5,reactive_gate,2.0,0.0,reactive_gate,5,992,725,51,0.06572164948453608,0.24519230769230768,725,59.5186619658125,4357.139391326038,20.033293791778526,600.0000000000005,0,1209,1,0,0,0.026587762490301564,0.2404824465969168,4067627402.1637144,0.0,0,0.0,0.0,0.0,0.0,313,4,0.34233315360184124,0.3772149102800458,0.7097142291949948,0.2984161451602247,395.4545454545455,0.33
type=reactive_gate_rate_per_min=2.0_think_snr=0.5_seed=1,reactive_gate,2.0,0.5,reactive_gate,1,635,509,7,0.013565891472868217,0.0425531914893617,509,196.4570472517462,1830.9061946440715,22.758017218878283,600.0000000000005,0,241,1,0,0,0.01362386982131615,0.34532148219558817,3547865417.950111,0.0,0,0.0,0.0,0.0,0.0,297,11,0.4939072351625671,0.4983573821256385,0.6139796645865708,0.23517620466316125,277.6363636363636,0.2
type=reactive_gate_rate_per_min=2.0_think_snr=0.5_seed=2,reactive_gate,2.0,0.5,reactive_gate,2,689,501,26,0.04933586337760911,0.19117647058823528,501,153.63113717948727,2933.037920084306,37.929018015105676,600.0000000000005,0,536,2,0,0,0.013659301437505928,0.2378389944304664,2200852634.7908626,0.0,0,0.0,0.0,0.0,0.0,225,27,0.38673122559848494,0.4151353709408866,0.614307439907893,0.2728547465042254,273.2727272727273,0.24
type=reactive_gate_rate_per_min=2.0_think_snr=0.5_seed=3,reactive_gate,2.0,0.5,reactive_gate,3,762,551,32,0.0548885077186964,0.18181818181818182,551,71.01193644977047,3031.8072488958505,6.57576445518803,600.0000000000005,0,625,0,0,0,0.017130866011881938,0.4831264512657666,4743566155.587354,0.0,0,0.0,0.0,0.0,0.0,251,23,0.3794068766121701,0.4026876499579092,0.5267743536284317,0.2316607134698879,300.54545454545456,0.22
type=reactive_gate_rate_per_min=2.0_think_snr=0.5_seed=4,reactive_gate,2.0,0.5,reactive_gate,4,715,573,9,0.015463917525773196,0.056962025316455694,573,81.3346070097864,1999.5650827184477,1.2485424104550993,600.0000000000005,0,244,0,0,0,0.014629429160853927,0.32598576332400103,5233809295.392366,0.0,0,0.0,0.0,0.0,0.0,201,19,0.48753465612402624,0.4975966313301727,0.5330316803167897,0.2634211243610022,312.54545454545456,0.18
type=reactive_gate_rate_per_min=2.0_think_snr=0.5_seed=5,reactive_gate,2.0,0.5,reactive_gate,5,971,708,48,0.06349206349206349,0.23414634146341465,708,71.14727486239303,4934.734280319319,13.39895225130975,600.0000000000005,0,1190,0,0,0,0.020740793018953946,0.32749787488168597,4235426340.1528735,0.0,0,0.0,0.0,0.0,0.0,286,5,0.3305563435515103,0.3622789824522865,0.6613856478770073,0.2814546698408261,386.1818181818182,0.33
type=reactive_gate_rate_per_min=2.0_think_snr=0.9_seed=1,reactive_gate,2.0,0.9,reactive_gate,1,609,477,8,0.016494845360824743,0.05185185185185185,477,207.1266525414694,2246.035056370087,28.146696988126994,600.0000000000005,0,308,1,0,0,0.01816582439768404,0.31154469268745116,3452450232.498527,0.0,0,0.0,0.0,0.0,0.0,289,9,0.4727294877075626,0.4787401154703896,0.6117666613935833,0.2414653667897197,260.1818181818182,0.2
type=reactive_gate_rate_per_min=2.0_think_snr=0.9_seed=2,reactive_gate,2.0,0.9,reactive_gate,2,684,498,19,0.0367504835589942,0.14074074074074075,498,160.02330983862726,3611.526846535154,10.24512856878265,600.0000000000005,0,492,1,0,0,0.009302466552737107,0.3031643311523123,2953854915.6199217,0.0,0,0.0,0.0,0.0,0.0,258,26,0.3983936598900834,0.4195018328231791,0.5974180682668027,0.26537471706355176,271.6363636363636,0.23
type=reactive_gate_rate_per_min=2.0_think_snr=0.9_seed=3,reactive_gate,2.0,0.9,reactive_gate,3,758,544,33,0.05719237435008666,0.2,544,56.776525875602886,2954.950149191214,3.4386544170698046,600.0000000000005,0,623,0,0,0,0.012650951325851464,0.45280604054636214,5538651702.992593,0.0,0,0.0,0.0,0.0,0.0,229,22,0.39787757892798764,0.4271936855196821,0.49506118765378143,0.2264126095226491,296.72727272727275,0.22
type=reactive_gate_rate_per_min=2.0_think_snr=0.9_seed=4,reactive_gate,2.0,0.9,reactive_gate,4,724,571,16,0.027257240204429302,0.09615384615384616,571,71.02836467074576,2251.4038700835595,1.5228587205783033,600.0000000000005,0,322,0,0,0,0.01586548154133978,0.3517501796761173,5254409361.532712,0.0,0,0.0,0.0,0.0,0.0,206,21,0.4563602355736526,0.4722514321595138,0.5242365066166472,0.2442485456166793,311.45454545454544,0.19
type=reactive_gate_rate_per_min=2.0_think_snr=0.9_seed=5,reactive_gate,2.0,0.9,reactive_gate,5,973,721,46,0.05997392438070404,0.22115384615384615,721,58.31615237727556,3713.3991225324035,14.53249457945094,600.0000000000005,0,1169,0,0,0,0.018529191667870506,0.2409231701087736,4483908250.330435,0.0,0,0.0,0.0,0.0,0.0,274,5,0.3541374443346757,0.3892466016381334,0.6612614370831714,0.30167049186860917,393.2727272727273,0.31
