run,type,rate_per_min,think_snr,tau,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=7,reactive_gate,1.0,0.0,0.8,reactive_gate,7,399,375,0,0.0,0.0,375,136.29605084657578,1629.135535814408,4.188700386369694,600.0,0,21,0,0,0,0.0,0.19092909825248444,3151586163.2089086,0.0,0,0.0,0.0,0.0,0.0,166,35,0.7649351529867188,0.7649351529867188,0.388929194828898,0.22448968539830977,204.54545454545456,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=8,reactive_gate,1.0,0.0,0.8,reactive_gate,8,517,443,4,0.008948545861297539,0.039603960396039604,443,103.03964968811215,2018.2777793076875,1.917021396380253,600.0,0,172,0,0,0,0.002844554614672234,0.46980825906324075,4842102774.932288,0.0,0,0.0,0.0,0.0,0.0,171,45,0.601673938347752,0.6112791965929045,0.44645917969761717,0.21274385436884163,241.63636363636365,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=9,reactive_gate,1.0,0.0,0.8,reactive_gate,9,520,451,3,0.006607929515418502,0.029411764705882353,451,164.87898431083977,2012.0886097963123,8.90076136818577,600.0000000000005,0,108,0,0,0,0.0021749956771081,0.2571299505244506,3227154044.6102347,0.0,0,0.0,0.0,0.0,0.0,213,34,0.5978836866797657,0.6034302800839184,0.5044294805749806,0.22985004219633515,246.0,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.8_seed=10,reactive_gate,1.0,0.0,0.8,reactive_gate,10,480,430,3,0.006928406466512702,0.03488372093023256,430,117.20337112717016,1681.5465294739447,6.168504839491333,600.0000000000005,0,54,0,0,0,0.006130398300276569,0.18213457693489904,4169595863.4067726,0.0,0,0.0,0.0,0.0,0.0,174,66,0.6767940297644702,0.6855115546469603,0.4434576881798757,0.26530765099033127,234.54545454545456,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=1,reactive_gate,1.0,0.0,0.9,reactive_gate,1,387,353,2,0.005633802816901409,0.02127659574468085,353,133.79299915825504,2021.7116911039107,3.0151173625599323,600.0000000000005,0,59,0,0,0,0.003776217484296324,0.40509297911981235,4424504700.671736,0.0,0,0.0,0.0,0.0,0.0,196,73,0.7592500955502655,0.7691104864015678,0.3641217927633709,0.18913908224044187,192.54545454545456,0.1
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=2,reactive_gate,1.0,0.0,0.9,reactive_gate,2,400,345,2,0.005763688760806916,0.027777777777777776,345,155.5918477190653,1430.5410701620724,19.02894964894247,600.0,0,40,1,0,0,0.0037400242917384435,0.26738783820056383,2650517830.359102,0.0,0,0.0,0.0,0.0,0.0,184,40,0.6503439560424935,0.6587899814456428,0.4376046648658055,0.21897597977481287,188.1818181818182,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=3,reactive_gate,1.0,0.0,0.9,reactive_gate,3,441,376,7,0.018276762402088774,0.06521739130434782,376,97.34240174718639,1908.1480258312297,0.0,600.0,0,86,0,0,0,0.0054117822304385185,0.382707920414841,4364679300.285077,0.0,0,0.0,0.0,0.0,0.0,174,39,0.6342201173403031,0.6523026854167385,0.3958278349966007,0.2238535214842816,205.0909090909091,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=4,reactive_gate,1.0,0.0,0.9,reactive_gate,4,447,414,3,0.007194244604316547,0.02040816326530612,414,55.59870396170993,1919.3107267351945,1.0571714147643727,600.0,0,44,0,0,0,0.010807246955543425,0.3985811179489509,4187274795.2058034,0.0,0,0.0,0.0,0.0,0.0,169,86,0.8138039401305962,0.8263687459589564,0.37737221277680655,0.19083039203226582,225.81818181818184,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=5,reactive_gate,1.0,0.0,0.9,reactive_gate,5,603,524,7,0.013182674199623353,0.07368421052631578,524,78.95138231460442,2693.1718991548005,7.523920860521285,600.0000000000005,0,185,0,0,0,0.004085162822895994,0.33745203302887883,4770179046.969136,0.0,0,0.0,0.0,0.0,0.0,181,24,0.5547603930466217,0.5721970381190378,0.47915197731319614,0.2657400823745613,285.8181818181818,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=6,reactive_gate,1.0,0.0,0.9,reactive_gate,6,416,355,4,0.011142061281337047,0.04597701149425287,355,172.77418933339754,2914.4511127130786,5.593191875348934,600.0000000000005,0,150,0,0,0,0.0022799823124015025,0.40543676571411197,4459298289.407164,0.0,0,0.0,0.0,0.0,0.0,187,45,0.5926814264469789,0.6037612267146466,0.40477680314766257,0.2369841478014521,193.63636363636365,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=7,reactive_gate,1.0,0.0,0.9,reactive_gate,7,399,375,0,0.0,0.0,375,136.29605084657578,1629.135535814408,4.188700386369694,600.0,0,21,0,0,0,0.0,0.19092909825248444,3151586163.2089086,0.0,0,0.0,0.0,0.0,0.0,166,35,0.7649351529867188,0.7649351529867188,0.388929194828898,0.22448968539830977,204.54545454545456,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=8,reactive_gate,1.0,0.0,0.9,reactive_gate,8,517,443,4,0.008948545861297539,0.039603960396039604,443,103.03964968811215,2018.2777793076875,1.917021396380253,600.0,0,172,0,0,0,0.002844554614672234,0.46980825906324075,4842102774.932288,0.0,0,0.0,0.0,0.0,0.0,171,45,0.601673938347752,0.6112791965929045,0.44645917969761717,0.21274385436884163,241.63636363636365,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=9,reactive_gate,1.0,0.0,0.9,reactive_gate,9,520,451,3,0.006607929515418502,0.029411764705882353,451,164.87898431083977,2012.0886097963123,8.90076136818577,600.0000000000005,0,108,0,0,0,0.0021749956771081,0.2571299505244506,3227154044.6102347,0.0,0,0.0,0.0,0.0,0.0,213,34,0.5978836866797657,0.6034302800839184,0.5044294805749806,0.22985004219633515,246.0,0.15
type=reactive_gate_rate_per_min=1.0_think_snr=0.0_tau=0.9_seed=10,reactive_gate,1.0,0.0,0.9,reactive_gate,10,480,430,3,0.006928406466512702,0.03488372093023256,430,117.20337112717016,1681.5465294739447,6.168504839491333,600.0000000000005,0,54,0,0,0,0.006130398300276569,0.18213457693489904,4169595863.4067726,0.0,0,0.0,0.0,0.0,0.0,174,66,0.6767940297644702,0.6855115546469603,0.4434576881798757,0.26530765099033127,234.54545454545456,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=1,reactive_gate,1.0,0.5,0.5,reactive_gate,1,388,345,5,0.014285714285714285,0.045454545454545456,345,135.8869036907472,2106.431825230762,0.0,600.0000000000005,0,76,0,0,0,0.00568240204439524,0.3920279456728536,4816972267.769364,0.0,0,0.0,0.0,0.0,0.0,199,74,0.675127495743016,0.6931704348504992,0.3607955957653458,0.18488387304532067,188.1818181818182,0.1
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=2,reactive_gate,1.0,0.5,0.5,reactive_gate,2,413,348,3,0.008547008547008548,0.0410958904109589,348,163.95766619213214,2104.7936349092383,18.24683308467311,600.0,0,51,1,0,0,0.009887878124358037,0.28495081200931943,2823881514.397503,0.0,0,0.0,0.0,0.0,0.0,184,46,0.5984472045510707,0.605716936252495,0.4478095642887206,0.20930045966546376,189.8181818181818,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=3,reactive_gate,1.0,0.5,0.5,reactive_gate,3,425,359,5,0.013736263736263736,0.047058823529411764,359,102.24636965811897,1711.2383803150483,6.285067564699541,600.0,0,98,0,0,0,0.004230714343265503,0.4317330509043469,4500526682.0006075,0.0,0,0.0,0.0,0.0,0.0,158,40,0.6160438933364341,0.6261981822586639,0.374218625032375,0.20282153418807186,195.8181818181818,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=4,reactive_gate,1.0,0.5,0.5,reactive_gate,4,454,416,2,0.004784688995215311,0.02040816326530612,416,55.43867851186667,1760.0695759279229,0.0,600.0,0,45,0,0,0,0.0034194506676695677,0.3597691993645082,4594190741.368901,0.0,0,0.0,0.0,0.0,0.0,152,65,0.7699602862470545,0.7798315719681705,0.3661870228931948,0.18834839414395077,226.9090909090909,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=5,reactive_gate,1.0,0.5,0.5,reactive_gate,5,630,540,9,0.01639344262295082,0.09473684210526316,540,79.3003338383271,2843.7996496276423,1.6647475025544736,600.0000000000005,0,202,0,0,0,0.005580210725494501,0.31359931386965106,4920253319.819556,0.0,0,0.0,0.0,0.0,0.0,175,21,0.5331711978795364,0.5535250681246434,0.47953259790614483,0.2615544920467025,294.54545454545456,0.16
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=6,reactive_gate,1.0,0.5,0.5,reactive_gate,6,436,367,4,0.01078167115902965,0.045454545454545456,367,174.26769345588855,2995.6401031095393,0.533356699454987,600.0000000000005,0,183,0,0,0,0.0030253606269642743,0.4429342721766224,4981057899.704213,0.0,0,0.0,0.0,0.0,0.0,181,42,0.5510175402716363,0.560919206227104,0.39013438123219374,0.2313402068329486,200.1818181818182,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=7,reactive_gate,1.0,0.5,0.5,reactive_gate,7,395,371,0,0.0,0.0,371,130.50534023951082,1428.4682132660778,0.0,600.0,0,19,0,0,0,0.0,0.20668157443137705,3704737591.477149,0.0,0,0.0,0.0,0.0,0.0,157,38,0.7852763756128893,0.7852763756128893,0.3778663941215035,0.22502654067711733,202.36363636363637,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=8,reactive_gate,1.0,0.5,0.5,reactive_gate,8,512,434,6,0.013636363636363636,0.061224489795918366,434,107.57295471930252,2037.1828042846807,5.936618009996204,600.0000000000005,0,192,0,0,0,0.010051811952797191,0.46473502053679033,4341487287.103551,0.0,0,0.0,0.0,0.0,0.0,171,44,0.5596454254401081,0.5744887438002316,0.4567632312427157,0.21104956079148376,236.72727272727275,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=9,reactive_gate,1.0,0.5,0.5,reactive_gate,9,544,473,5,0.010460251046025104,0.04716981132075472,473,172.29055076774807,2391.0187027326992,29.502964584509144,600.0000000000005,0,153,0,0,0,0.001800799664007561,0.22088738488249973,2217459635.94993,0.0,0,0.0,0.0,0.0,0.0,229,20,0.5652250958881528,0.5761322615392411,0.5690432824033606,0.22244179877630446,258.0,0.16
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.5_seed=10,reactive_gate,1.0,0.5,0.5,reactive_gate,10,486,430,1,0.002320185614849188,0.012345679012345678,430,97.25011103350926,1647.843238042765,8.88493349522935,600.0000000000005,0,51,0,0,0,0.004789033584938265,0.22216779432236927,3893261509.488005,0.0,0,0.0,0.0,0.0,0.0,183,53,0.7099105161919413,0.7104783479300117,0.4681007696840197,0.2622808579392831,234.54545454545456,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=1,reactive_gate,1.0,0.5,0.8,reactive_gate,1,388,345,5,0.014285714285714285,0.045454545454545456,345,135.8869036907472,2106.431825230762,0.0,600.0000000000005,0,76,0,0,0,0.00568240204439524,0.3920279456728536,4816972267.769364,0.0,0,0.0,0.0,0.0,0.0,199,74,0.675127495743016,0.6931704348504992,0.3607955957653458,0.18488387304532067,188.1818181818182,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=2,reactive_gate,1.0,0.5,0.8,reactive_gate,2,413,348,3,0.008547008547008548,0.0410958904109589,348,163.95766619213214,2104.7936349092383,18.24683308467311,600.0,0,51,1,0,0,0.009887878124358037,0.28495081200931943,2823881514.397503,0.0,0,0.0,0.0,0.0,0.0,184,46,0.5984472045510707,0.605716936252495,0.4478095642887206,0.20930045966546376,189.8181818181818,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=3,reactive_gate,1.0,0.5,0.8,reactive_gate,3,425,359,5,0.013736263736263736,0.047058823529411764,359,102.24636965811897,1711.2383803150483,6.285067564699541,600.0,0,98,0,0,0,0.004230714343265503,0.4317330509043469,4500526682.0006075,0.0,0,0.0,0.0,0.0,0.0,158,40,0.6160438933364341,0.6261981822586639,0.374218625032375,0.20282153418807186,195.8181818181818,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=4,reactive_gate,1.0,0.5,0.8,reactive_gate,4,454,416,2,0.004784688995215311,0.02040816326530612,416,55.43867851186667,1760.0695759279229,0.0,600.0,0,45,0,0,0,0.0034194506676695677,0.3597691993645082,4594190741.368901,0.0,0,0.0,0.0,0.0,0.0,152,65,0.7699602862470545,0.7798315719681705,0.3661870228931948,0.18834839414395077,226.9090909090909,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=5,reactive_gate,1.0,0.5,0.8,reactive_gate,5,630,540,9,0.01639344262295082,0.09473684210526316,540,79.3003338383271,2843.7996496276423,1.6647475025544736,600.0000000000005,0,202,0,0,0,0.005580210725494501,0.31359931386965106,4920253319.819556,0.0,0,0.0,0.0,0.0,0.0,175,21,0.5331711978795364,0.5535250681246434,0.47953259790614483,0.2615544920467025,294.54545454545456,0.16
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=6,reactive_gate,1.0,0.5,0.8,reactive_gate,6,436,367,4,0.01078167115902965,0.045454545454545456,367,174.26769345588855,2995.6401031095393,0.533356699454987,600.0000000000005,0,183,0,0,0,0.0030253606269642743,0.4429342721766224,4981057899.704213,0.0,0,0.0,0.0,0.0,0.0,181,42,0.5510175402716363,0.560919206227104,0.39013438123219374,0.2313402068329486,200.1818181818182,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=7,reactive_gate,1.0,0.5,0.8,reactive_gate,7,395,371,0,0.0,0.0,371,130.50534023951082,1428.4682132660778,0.0,600.0,0,19,0,0,0,0.0,0.20668157443137705,3704737591.477149,0.0,0,0.0,0.0,0.0,0.0,157,38,0.7852763756128893,0.7852763756128893,0.3778663941215035,0.22502654067711733,202.36363636363637,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=8,reactive_gate,1.0,0.5,0.8,reactive_gate,8,512,434,6,0.013636363636363636,0.061224489795918366,434,107.57295471930252,2037.1828042846807,5.936618009996204,600.0000000000005,0,192,0,0,0,0.010051811952797191,0.46473502053679033,4341487287.103551,0.0,0,0.0,0.0,0.0,0.0,171,44,0.5596454254401081,0.5744887438002316,0.4567632312427157,0.21104956079148376,236.72727272727275,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=9,reactive_gate,1.0,0.5,0.8,reactive_gate,9,544,473,5,0.010460251046025104,0.04716981132075472,473,172.29055076774807,2391.0187027326992,29.502964584509144,600.0000000000005,0,153,0,0,0,0.001800799664007561,0.22088738488249973,2217459635.94993,0.0,0,0.0,0.0,0.0,0.0,229,20,0.5652250958881528,0.5761322615392411,0.5690432824033606,0.22244179877630446,258.0,0.17
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.8_seed=10,reactive_gate,1.0,0.5,0.8,reactive_gate,10,486,430,1,0.002320185614849188,0.012345679012345678,430,97.25011103350926,1647.843238042765,8.88493349522935,600.0000000000005,0,51,0,0,0,0.004789033584938265,0.22216779432236927,3893261509.488005,0.0,0,0.0,0.0,0.0,0.0,183,53,0.7099105161919413,0.7104783479300117,0.4681007696840197,0.2622808579392831,234.54545454545456,0.14
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=1,reactive_gate,1.0,0.5,0.9,reactive_gate,1,388,345,5,0.014285714285714285,0.045454545454545456,345,135.8869036907472,2106.431825230762,0.0,600.0000000000005,0,76,0,0,0,0.00568240204439524,0.3920279456728536,4816972267.769364,0.0,0,0.0,0.0,0.0,0.0,199,74,0.675127495743016,0.6931704348504992,0.3607955957653458,0.18488387304532067,188.1818181818182,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=2,reactive_gate,1.0,0.5,0.9,reactive_gate,2,413,348,3,0.008547008547008548,0.0410958904109589,348,163.95766619213214,2104.7936349092383,18.24683308467311,600.0,0,51,1,0,0,0.009887878124358037,0.28495081200931943,2823881514.397503,0.0,0,0.0,0.0,0.0,0.0,184,46,0.5984472045510707,0.605716936252495,0.4478095642887206,0.20930045966546376,189.8181818181818,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=3,reactive_gate,1.0,0.5,0.9,reactive_gate,3,425,359,5,0.013736263736263736,0.047058823529411764,359,102.24636965811897,1711.2383803150483,6.285067564699541,600.0,0,98,0,0,0,0.004230714343265503,0.4317330509043469,4500526682.0006075,0.0,0,0.0,0.0,0.0,0.0,158,40,0.6160438933364341,0.6261981822586639,0.374218625032375,0.20282153418807186,195.8181818181818,0.12
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=4,reactive_gate,1.0,0.5,0.9,reactive_gate,4,454,416,2,0.004784688995215311,0.02040816326530612,416,55.43867851186667,1760.0695759279229,0.0,600.0,0,45,0,0,0,0.0034194506676695677,0.3597691993645082,4594190741.368901,0.0,0,0.0,0.0,0.0,0.0,152,65,0.7699602862470545,0.7798315719681705,0.3661870228931948,0.18834839414395077,226.9090909090909,0.11
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=5,reactive_gate,1.0,0.5,0.9,reactive_gate,5,630,540,9,0.01639344262295082,0.09473684210526316,540,79.3003338383271,2843.7996496276423,1.6647475025544736,600.0000000000005,0,202,0,0,0,0.005580210725494501,0.31359931386965106,4920253319.819556,0.0,0,0.0,0.0,0.0,0.0,175,21,0.5331711978795364,0.5535250681246434,0.47953259790614483,0.2615544920467025,294.54545454545456,0.16
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=6,reactive_gate,1.0,0.5,0.9,reactive_gate,6,436,367,4,0.01078167115902965,0.045454545454545456,367,174.26769345588855,2995.6401031095393,0.533356699454987,600.0000000000005,0,183,0,0,0,0.0030253606269642743,0.4429342721766224,4981057899.704213,0.0,0,0.0,0.0,0.0,0.0,181,42,0.5510175402716363,0.560919206227104,0.39013438123219374,0.2313402068329486,200.1818181818182,0.13
type=reactive_gate_rate_per_min=1.0_think_snr=0.5_tau=0.9_seed=7,reactive_gate,1.0,0.5,0.9,reactive_gate,7,395,371,0,0.0,0.0,371,130.50534023951082,1428.4682132660778,0.0,600.0,0,19,0,0,0,0.0,0.20668157443137705,3704737591.477149,0.0,0,0.0,0.0,0.0,0.0,157,38,0.7852763756128893,0.7852763756128893,0.3778663941215035,0.22502654067711733,202.36363636363637,0.11
