run,type,tau,queue,sandbox_idle_timeout_s,rpm,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=7,reactive_gate,0.8,vtfq,0,10,reactive_gate,7,681,437,25,0.05411255411255411,0.15625,437,13.182476127771224,2958.5744620523874,0.0,600.0000000000005,124,778,0,0,14,0.028205551334622964,0.4490188289653638,7336613747.281837,0.0,0,0.0,0.0,0.0,0.0,227,8,0.31493685012654665,0.329824773251388,0.3410449472286972,0.2048788832438446,238.36363636363637,0.16
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=8,reactive_gate,0.8,vtfq,0,10,reactive_gate,8,773,545,29,0.050522648083623695,0.1836734693877551,545,11.216840801242142,3587.826606635256,0.0,600.0000000000005,144,854,0,0,18,0.047975286714977125,0.5935722833402853,7728812859.454563,0.0,0,0.0,0.0,0.0,0.0,227,7,0.32093392472509674,0.3404644544684521,0.2714630957774864,0.17376965493436003,297.2727272727273,0.19
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=9,reactive_gate,0.8,vtfq,0,10,reactive_gate,9,752,513,37,0.06727272727272728,0.21142857142857144,513,24.672894598362745,3144.778348919898,0.0,600.0000000000005,246,840,0,0,18,0.04058244072837219,0.14450570519162653,8811886118.435179,0.0,0,0.0,0.0,0.0,0.0,382,10,0.33125076612480886,0.3609574209018578,0.39033797812257187,0.2989414100447217,279.8181818181818,0.35
type=reactive_gate_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=10,reactive_gate,0.8,vtfq,0,10,reactive_gate,10,554,417,15,0.034722222222222224,0.11904761904761904,417,168.81230747018208,3582.8165421089698,1.4266105121420574,600.0000000000005,251,399,0,0,6,0.026107784821038062,0.3269227955249886,7343281147.785416,0.0,0,0.0,0.0,0.0,0.0,213,3,0.37424033780585086,0.3911203978358029,0.41719316959256025,0.2697172427774145,227.45454545454547,0.19
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,lease,0.5,vtfq,0,10,lease,1,590,461,13,0.027426160337552744,0.06802721088435375,461,99.46739875677213,3347.7026556764513,0.0,600.0000000000005,18,330,0,0,0,0.01506554631848305,0.3835551361201395,5106294009.86453,0.0,0,64.88806125908354,37.134398376551985,970200.0,55016.24964311974,347,5,0.4418440483699491,0.4555956798465157,0.4552074792799793,0.2593139591182471,251.45454545454547,0.45
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,lease,0.5,vtfq,0,10,lease,2,680,520,16,0.029850746268656716,0.10204081632653061,520,76.68600533441031,2445.142732695707,0.0,600.0000000000005,4,446,0,0,0,0.016045770756256336,0.30739662473228513,6192298831.383527,0.0,0,277.01689168915414,198.7294572080242,963000.0,55033.02155180412,318,8,0.4060342454396336,0.4229388222988128,0.46459078231028234,0.30734346811942687,283.6363636363636,0.47
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,lease,0.5,vtfq,0,10,lease,3,705,505,13,0.025096525096525095,0.07878787878787878,505,25.73096711682865,2732.903145428394,1.1471129661415291,600.0000000000005,17,594,0,0,0,0.007146528398866479,0.4382029151094851,6660317305.042763,0.0,0,123.56121772554044,59.080131589530765,952200.0,56124.7154767218,355,6,0.38471475744921113,0.39803491804136754,0.43741186075903266,0.2487556115477471,275.45454545454544,0.51
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,lease,0.5,vtfq,0,10,lease,4,603,425,15,0.03409090909090909,0.11278195488721804,425,18.147689003559208,3513.34565828104,0.0,600.0000000000005,8,524,0,0,0,0.03901866793874877,0.4579518166976626,6855319571.63598,0.0,0,22.579963860351427,16.845954635859698,862800.0,55830.19803385507,306,9,0.3549209012738328,0.36798562092408527,0.38035776419645173,0.14652298013627857,231.81818181818184,0.42
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=5,lease,0.5,vtfq,0,10,lease,5,823,551,44,0.07394957983193277,0.21105527638190955,551,16.535980341879622,3995.88403705844,0.0,600.0000000000005,6,1382,0,0,0,0.034276896283910605,0.02191430645759535,9609855190.609587,0.0,0,195.45562141540316,190.39221235284697,967200.0,83285.31405688317,473,6,0.30857603745412593,0.33765238182874574,0.4363282173214518,0.23206429512470222,300.54545454545456,0.74
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=6,lease,0.5,vtfq,0,10,lease,6,651,503,12,0.02330097087378641,0.07971014492753623,503,18.59095048504514,2099.845446891648,0.0,600.0000000000005,9,476,0,0,0,0.016484108949281786,0.3644268673363761,7040415685.318858,0.0,0,237.4925397984395,174.033245288697,863400.0,49751.63780336316,323,16,0.42533801076636013,0.4408830924613952,0.3771375978859104,0.2130926820312032,274.3636363636364,0.44
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=7,lease,0.5,vtfq,0,10,lease,7,716,515,23,0.04275092936802974,0.11917098445595854,515,25.199664268012384,2463.4629579460807,0.0,600.0000000000005,32,647,0,0,0,0.022892936680468372,0.41766985699885617,6687737415.787998,0.0,0,29.38056790328926,26.14058248557535,999000.0,50844.12718160952,268,8,0.3577796764342326,0.3749521224733313,0.4580601646270397,0.227402116727784,280.90909090909093,0.51
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=8,lease,0.5,vtfq,0,10,lease,8,808,602,25,0.03987240829346093,0.1488095238095238,602,14.31789544549224,3662.9868469345856,0.0,600.0000000000005,17,729,0,0,0,0.02680036813699777,0.5689270626290348,7962777892.0972805,0.0,0,17.236898064845576,14.496928284470414,1080000.0,63078.96313212434,328,7,0.359730073739992,0.38085154929121917,0.3775267915088384,0.20368348061057023,328.3636363636364,0.53
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=9,lease,0.5,vtfq,0,10,lease,9,782,565,29,0.04882154882154882,0.15425531914893617,565,40.64807008547041,3467.497428705641,0.0,600.0000000000005,8,732,0,0,0,0.03182488396541262,0.14157236302217466,7423572858.3748665,0.0,0,308.44436346545524,303.8050998614665,967200.0,66546.54330863086,401,9,0.3652346664633802,0.39044914752120874,0.4752122102313196,0.31157934444370095,308.1818181818182,0.61
type=lease_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=10,lease,0.5,vtfq,0,10,lease,10,572,436,9,0.020224719101123594,0.07317073170731707,436,182.026789835832,2641.9517386000507,0.0,600.0000000000005,44,346,0,0,0,0.009893977370121612,0.3618059656438494,5716857833.43825,0.0,0,111.86568341880462,110.17989447177274,829200.0,46014.361152646234,272,3,0.41433538354186983,0.4250100870312435,0.48423143803418806,0.26819958832674445,237.81818181818184,0.43
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,lease,0.8,vtfq,0,10,lease,1,572,426,8,0.018433179723502304,0.06060606060606061,426,59.64706064733872,3515.7781102144804,0.0,600.0000000000005,0,372,0,0,0,0.006578597266897445,0.41810448876593115,6274193368.999548,884.7165976376327,10,291.6952679048661,232.59062429182336,908400.0,42268.91566825518,263,1,0.3863134533243663,0.3929261348494262,0.4044976230574981,0.2163469981377337,232.36363636363637,0.45
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,lease,0.8,vtfq,0,10,lease,2,656,482,15,0.030181086519114688,0.10948905109489052,482,66.55906200134314,2476.4656560268736,0.0,600.0000000000005,0,478,0,0,0,0.01725552580882055,0.3170324536374921,6464222300.477933,543.3433107097779,3,743.9625332954213,719.5615431020511,882000.0,45959.49080803245,268,0,0.37541824977400795,0.39097867235839834,0.4325598528757123,0.2926676653372941,262.90909090909093,0.45
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,lease,0.8,vtfq,0,10,lease,3,672,460,20,0.041666666666666664,0.11042944785276074,460,16.965409808986124,3215.3653567655547,0.0,600.0000000000005,0,666,0,0,0,0.018959000929799647,0.4773004921986528,7199561387.884719,1111.5809396466243,13,426.61821285891983,199.22803190150057,864600.0,52279.63153458695,273,6,0.3524927035249229,0.3680814682033544,0.38995170729328543,0.2037247558209067,250.9090909090909,0.51
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,lease,0.8,vtfq,0,10,lease,4,635,467,12,0.025052192066805846,0.08823529411764706,467,24.830434003607934,3647.8582652290766,0.0,600.0000000000005,0,502,0,0,0,0.025413958130242942,0.40914424560901125,7168956329.071874,732.7308647281178,7,97.41347874561325,63.79866467084662,928200.0,37752.04317543298,235,8,0.3613818214685791,0.3733370982710769,0.39167592016317015,0.1597860842550525,254.72727272727275,0.45
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=5,lease,0.8,vtfq,0,10,lease,5,822,546,53,0.08848080133555926,0.23902439024390243,546,16.91654228198945,4040.1214843663447,0.0,600.0000000000005,0,1269,0,0,0,0.037812920528526625,0.006473039634835645,8801751957.367811,894.7723436469349,5,381.1636157140674,372.8030045272254,903600.0,69527.63842078022,315,2,0.31557655060703493,0.3518746913778822,0.41385615093644784,0.2959402880229365,297.8181818181818,0.65
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=6,lease,0.8,vtfq,0,10,lease,6,663,517,10,0.018975332068311195,0.07142857142857142,517,20.445474505615948,3217.0652865182233,0.0,600.0000000000005,0,491,0,0,0,0.017596325064259635,0.3336339569625899,6940652881.768804,4903.599557579377,17,708.4423888434958,598.9955114898627,885600.0,39032.9556699156,213,12,0.41651539985875274,0.4285755962260215,0.38637560271788396,0.22791526204937304,282.0,0.47
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=7,lease,0.8,vtfq,0,10,lease,7,695,472,25,0.05030181086519115,0.1388888888888889,472,16.444760481562753,2277.9029510963624,0.0,600.0000000000005,0,717,0,0,0,0.017789729675683093,0.40984593338000586,6798135215.356098,444.57455858496405,2,139.62548305663154,126.49222524705556,883800.0,49051.910286156846,212,8,0.31843526293517965,0.33732242619740693,0.4090073045762108,0.2232623140890407,257.45454545454544,0.5
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=8,lease,0.8,vtfq,0,10,lease,8,769,537,39,0.06770833333333333,0.2229299363057325,537,13.404838924177056,3713.3145081170464,0.0,600.0000000000005,0,875,0,0,0,0.06292900610404782,0.6145969441699458,8353113502.275664,2114.715193837243,11,65.6487470320996,56.75227351309877,997200.0,66201.76794031571,257,6,0.3071440891658755,0.33713050899698366,0.3225040767692955,0.1449065391739074,292.90909090909093,0.54
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=9,lease,0.8,vtfq,0,10,lease,9,730,497,33,0.062264150943396226,0.17679558011049723,497,23.298114343539737,4606.291408213548,0.0,600.0000000000005,0,958,0,0,0,0.030502479941943154,0.15295268406748333,8348920156.155012,1279.5804061839735,4,520.5414313949916,243.5533510308685,819000.0,61183.634831883915,279,15,0.3205324005898123,0.3448033848415617,0.3840771015968985,0.24853785537371748,271.0909090909091,0.58
type=lease_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=10,lease,0.8,vtfq,0,10,lease,10,555,422,10,0.023148148148148147,0.08064516129032258,422,179.68510548969073,2445.427980523945,0.455224026163089,600.0000000000005,0,373,0,0,0,0.010659193633909547,0.3375663724883774,6363113397.801684,412.82792304805275,1,459.17932534230215,451.1527777384913,760200.0,33519.160615955225,219,3,0.40864763479947436,0.41901819334781204,0.45262170388581324,0.2582503815544678,230.1818181818182,0.39
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,clairvoyant,0.5,vtfq,0,10,clairvoyant,1,655,547,5,0.009057971014492754,0.03355704697986577,547,95.92443995250073,2608.7017147565944,0.26425519743053855,600.0000000000005,0,213,0,0,0,0.0034975894670690394,0.3855542453179848,3361193476.318349,57.0,19,0.0,0.0,0.0,0.0,294,2,0.509023708944197,0.5149844660168371,0.5511955934060153,0.23511546163038952,298.3636363636364,0.24
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,clairvoyant,0.5,vtfq,0,10,clairvoyant,2,765,624,12,0.018867924528301886,0.0759493670886076,624,85.04373593009223,2270.1614218931154,14.762814142933811,600.0000000000005,0,337,1,0,0,0.02881745675760831,0.27728402160328014,3070504360.1962543,42.0,14,0.0,0.0,0.0,0.0,294,9,0.5042707279125089,0.5148526394233129,0.6094128960154429,0.3385359879857062,340.3636363636364,0.26
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,clairvoyant,0.5,vtfq,0,10,clairvoyant,3,759,577,21,0.03511705685618729,0.11170212765957446,577,37.002270940171,3020.684685686317,2.030963378309468,600.0000000000005,0,442,0,0,0,0.02005649486602186,0.44428718394321587,4106712395.9914255,141.0,47,0.0,0.0,0.0,0.0,299,6,0.44104146487857937,0.46176029955578457,0.5361342929009648,0.22227859746019168,314.72727272727275,0.27
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,clairvoyant,0.5,vtfq,0,10,clairvoyant,4,716,573,8,0.013769363166953529,0.05161290322580645,573,56.9100697222143,3408.656557157613,2.3241701418852867,600.0000000000005,0,260,0,0,0,0.008976412829319052,0.3069787914356333,3626486941.0158978,63.0,21,0.0,0.0,0.0,0.0,267,7,0.477974862219772,0.48956116420465745,0.5792156300343176,0.2047665373821832,312.54545454545456,0.25
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=5,clairvoyant,0.5,vtfq,0,10,clairvoyant,5,929,675,43,0.05988857938718663,0.17757009345794392,675,26.520909341027618,3973.033502417295,3.852013740365304,600.0000000000005,0,895,0,0,0,0.03595440543385989,0.07258778321004825,6764761343.088213,38.99999999999997,13,0.0,0.0,0.0,0.0,364,4,0.3602545357952264,0.3910213404139074,0.5788834705832363,0.2682340727184776,368.1818181818182,0.39
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=6,clairvoyant,0.5,vtfq,0,10,clairvoyant,6,740,607,8,0.013008130081300813,0.04794520547945205,607,25.807336128984844,1815.1085494920471,0.4831086326785526,600.0000000000005,0,323,0,0,0,0.018258423285008485,0.32253859445753635,4122116838.4417357,171.0,57,0.0,0.0,0.0,0.0,272,14,0.5218606870048883,0.5326972063092393,0.5151069832782958,0.2680352052952405,331.0909090909091,0.23
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=7,clairvoyant,0.5,vtfq,0,10,clairvoyant,7,782,602,17,0.027463651050080775,0.08292682926829269,602,37.255243162619536,2343.799762031934,1.6731252648272856,600.0000000000005,0,408,0,0,0,0.006894666279008259,0.33302478414117337,4143363753.3862395,27.0,9,0.0,0.0,0.0,0.0,238,8,0.4551324176624716,0.4747300492649605,0.5701867870653652,0.2470704747473571,328.3636363636364,0.27
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=8,clairvoyant,0.5,vtfq,0,10,clairvoyant,8,901,723,23,0.030831099195710455,0.12568306010928962,723,19.243692391379227,3421.7566590216998,0.0,600.0000000000005,0,546,0,0,0,0.01803108839821874,0.5309491218379363,5017991960.103701,120.0,40,0.0,0.0,0.0,0.0,287,6,0.4305496966778727,0.4532813020117348,0.4819534967058405,0.21312568732628193,394.3636363636364,0.29
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=9,clairvoyant,0.5,vtfq,0,10,clairvoyant,9,839,650,26,0.038461538461538464,0.11764705882352941,650,72.95374065541796,3203.04796558585,3.477038339468754,600.0000000000005,0,524,0,0,0,0.017426725369961055,0.18388456451203206,5096305921.3506155,9.0,3,0.0,0.0,0.0,0.0,320,7,0.43649374796436774,0.4624135754617777,0.6070721051500583,0.2899825529690125,354.54545454545456,0.32
type=clairvoyant_tau=0.5_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=10,clairvoyant,0.5,vtfq,0,10,clairvoyant,10,623,509,10,0.019267822736030827,0.072992700729927,509,136.54979880229553,2981.586779904805,4.387030168017615,600.0000000000005,0,284,0,0,0,0.008413963522382658,0.27697203189960035,3174395096.25661,45.0,15,0.0,0.0,0.0,0.0,292,3,0.552799416776847,0.5689173252355968,0.6036957082362083,0.3327021060817654,277.6363636363636,0.21
type=clairvoyant_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=1,clairvoyant,0.8,vtfq,0,10,clairvoyant,1,655,547,5,0.009057971014492754,0.03355704697986577,547,95.92443995250073,2608.7017147565944,0.26425519743053855,600.0000000000005,0,213,0,0,0,0.0034975894670690394,0.3855542453179848,3361193476.318349,57.0,19,0.0,0.0,0.0,0.0,294,2,0.509023708944197,0.5149844660168371,0.5511955934060153,0.23511546163038952,298.3636363636364,0.24
type=clairvoyant_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=2,clairvoyant,0.8,vtfq,0,10,clairvoyant,2,765,624,12,0.018867924528301886,0.0759493670886076,624,85.04373593009223,2270.1614218931154,14.762814142933811,600.0000000000005,0,337,1,0,0,0.02881745675760831,0.27728402160328014,3070504360.1962543,42.0,14,0.0,0.0,0.0,0.0,294,9,0.5042707279125089,0.5148526394233129,0.6094128960154429,0.3385359879857062,340.3636363636364,0.26
type=clairvoyant_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=3,clairvoyant,0.8,vtfq,0,10,clairvoyant,3,759,577,21,0.03511705685618729,0.11170212765957446,577,37.002270940171,3020.684685686317,2.030963378309468,600.0000000000005,0,442,0,0,0,0.02005649486602186,0.44428718394321587,4106712395.9914255,141.0,47,0.0,0.0,0.0,0.0,299,6,0.44104146487857937,0.46176029955578457,0.5361342929009648,0.22227859746019168,314.72727272727275,0.28
type=clairvoyant_tau=0.8_queue=vtfq_sandbox_idle_timeout_s=0_rpm=10_seed=4,clairvoyant,0.8,vtfq,0,10,clairvoyant,4,716,573,8,0.013769363166953529,0.05161290322580645,573,56.9100697222143,3408.656557157613,2.3241701418852867,600.0000000000005,0,260,0,0,0,0.008976412829319052,0.3069787914356333,3626486941.0158978,63.0,21,0.0,0.0,0.0,0.0,267,7,0.477974862219772,0.48956116420465745,0.5792156300343176,0.2047665373821832,312.54545454545456,0.25
