run,type,rate_per_min,p_parallel_scale,h,policy,seed,req_started,req_done,req_failed,failure_rate,session_fail_finished,tct_n,tct_p50,tct_p99,chat_wait_p99,block_wait_max,n429,timeouts,evicted,deadlock_breaks,cycles_seen,token_waste,tool_waste,kv_unused_token_s,prewarm_idle_s,prewarm_hits,lease_cpu_issued,lease_cpu_unused,lease_budget_issued,lease_budget_unused,par_groups,par_groups_parallel,jain_all,jain_survivors,util_model,util_cpu,throughput_rph,wall_s
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=5,reactive_gate,2.0,1.0,600,reactive_gate,5,992,725,51,0.06572164948453608,0.24519230769230768,725,59.5186619658125,4357.139391326038,20.033293791778526,600.0000000000005,0,1209,1,0,0,0.026587762490301564,0.2404824465969168,4067627402.1637144,0.0,0,0.0,0.0,0.0,0.0,313,4,0.34233315360184124,0.3772149102800458,0.7097142291949948,0.2984161451602247,395.4545454545455,0.33
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=6,reactive_gate,2.0,1.0,600,reactive_gate,6,605,445,26,0.055201698513800426,0.1925925925925926,445,133.82581292219857,3198.427637026624,19.285499154294953,600.0000000000005,0,599,0,0,0,0.01542621289949187,0.42370771252119915,3979008426.4927135,0.0,0,0.0,0.0,0.0,0.0,221,21,0.3844952884036298,0.41854580046470385,0.5383991590585341,0.24796657303756767,242.72727272727275,0.2
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=7,reactive_gate,2.0,1.0,600,reactive_gate,7,719,491,20,0.03913894324853229,0.11428571428571428,491,139.07307509827388,2785.935389571613,18.720412001080696,600.0000000000005,0,646,1,0,0,0.009138679123114078,0.3418536929846733,3442886007.413887,0.0,0,0.0,0.0,0.0,0.0,232,15,0.3758776699657566,0.38877417870989545,0.5742510470894846,0.27059790851823856,267.8181818181818,0.23
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=8,reactive_gate,2.0,1.0,600,reactive_gate,8,817,621,32,0.04900459418070444,0.16853932584269662,621,102.95075145866576,3719.124904724394,15.22643054834782,600.0000000000005,0,761,0,0,0,0.013458289841961393,0.42395525883499585,4559172815.5572195,0.0,0,0.0,0.0,0.0,0.0,267,5,0.3830564499082377,0.41228297561829963,0.6109508293471575,0.2534501161225141,338.72727272727275,0.25
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=9,reactive_gate,2.0,1.0,600,reactive_gate,9,806,592,38,0.06031746031746032,0.20218579234972678,592,137.32698656546745,3739.9856392022243,6.218600624669337,600.0000000000005,0,856,0,0,0,0.013116328439465863,0.3075354586532756,4563563754.199722,0.0,0,0.0,0.0,0.0,0.0,259,9,0.36800207165918924,0.4017064512737694,0.6062490548311642,0.2788311377147522,322.90909090909093,0.26
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=10,reactive_gate,2.0,1.0,600,reactive_gate,10,666,539,14,0.02531645569620253,0.11023622047244094,539,129.25148044641446,2402.496625470805,3.5821736886688034,600.0000000000005,0,321,1,0,0,0.011036604437468404,0.28732365035189206,4531423139.6691675,0.0,0,0.0,0.0,0.0,0.0,222,16,0.4399231885699153,0.4613168057824149,0.539261039214258,0.2918974013979209,294.0,0.19
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=1,reactive_gate,2.0,3.0,60,reactive_gate,1,612,481,8,0.016359918200409,0.05755395683453238,481,183.74351794825043,2026.2515319476013,36.075416285204945,600.0000000000005,0,275,2,0,0,0.002293752942857775,0.3834531660059622,3825261535.360533,0.0,0,0.0,0.0,0.0,0.0,719,78,0.490372617769548,0.5034143525480465,0.5925456461004274,0.23284405058247232,262.3636363636364,0.19
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=2,reactive_gate,2.0,3.0,60,reactive_gate,2,686,505,23,0.043560606060606064,0.15827338129496402,505,136.21848845082695,2650.420231334762,13.220337119563657,600.0000000000005,0,441,1,0,0,0.03575728021666863,0.32611115050014355,3119893561.482152,0.0,0,0.0,0.0,0.0,0.0,789,54,0.4132448160304662,0.43866344812649943,0.5769771789165696,0.27554822394642164,275.45454545454544,0.22
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=3,reactive_gate,2.0,3.0,60,reactive_gate,3,770,547,34,0.058519793459552494,0.20382165605095542,547,71.88616545998138,2995.366827201194,13.449700152596266,600.0000000000005,0,629,0,0,0,0.010754159957468739,0.45226894773077214,4098047803.623049,0.0,0,0.0,0.0,0.0,0.0,764,71,0.37905560191711135,0.41231851754449733,0.5727568699292606,0.23363404265085688,298.3636363636364,0.23
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=4,reactive_gate,2.0,3.0,60,reactive_gate,4,694,548,11,0.01967799642218247,0.06493506493506493,548,97.18746661054081,2126.1038767541254,6.566533044712428,600.0000000000005,0,246,0,0,0,0.01211005327617885,0.332524763705042,4547015017.7634945,0.0,0,0.0,0.0,0.0,0.0,702,48,0.47670071353247406,0.4876011275903928,0.5454517028983747,0.2652519136288878,298.90909090909093,0.18
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=5,reactive_gate,2.0,3.0,60,reactive_gate,5,957,686,46,0.06284153005464481,0.22330097087378642,686,69.38548480382019,4292.118722246882,25.131575473589162,600.0000000000005,0,1221,1,0,0,0.010024842739844447,0.26807443808692727,3542644386.100333,0.0,0,0.0,0.0,0.0,0.0,935,12,0.33469178457240006,0.3687421635822671,0.7165730958179553,0.29291038952521065,374.1818181818182,0.33
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=6,reactive_gate,2.0,3.0,60,reactive_gate,6,589,433,26,0.05664488017429194,0.18840579710144928,433,171.28564802068286,3617.5864169296065,35.35024090390952,600.0000000000005,0,581,1,0,0,0.011711534493841162,0.43724285680242564,3843184053.151242,0.0,0,0.0,0.0,0.0,0.0,723,45,0.3927417719586407,0.4274588213666243,0.5564612260465229,0.2383750817864833,236.1818181818182,0.2
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=7,reactive_gate,2.0,3.0,60,reactive_gate,7,734,528,19,0.03473491773308958,0.09947643979057591,528,134.3150302117392,2973.4406668561087,13.999219363525054,600.0000000000005,0,599,0,0,0,0.006163384992217265,0.35000071578282343,3619194192.2543106,0.0,0,0.0,0.0,0.0,0.0,790,40,0.39189354839465573,0.40634698758379356,0.5793531745054714,0.26119051845800384,288.0,0.23
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=8,reactive_gate,2.0,3.0,60,reactive_gate,8,823,612,38,0.05846153846153846,0.20689655172413793,612,90.50291748089558,3710.828089919185,10.532096647658168,600.0000000000005,0,805,1,0,0,0.018658506733300415,0.4644915465117478,4576186625.236017,0.0,0,0.0,0.0,0.0,0.0,841,23,0.3704588031219446,0.40719659560551746,0.6048160101900415,0.24013041869162374,333.8181818181818,0.24
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=9,reactive_gate,2.0,3.0,60,reactive_gate,9,818,600,37,0.058084772370486655,0.20218579234972678,600,136.70693662388658,3859.763608849215,18.298208414838555,600.0000000000005,0,846,0,0,0,0.024300576625548773,0.29627464946160526,4005628408.2983522,0.0,0,0.0,0.0,0.0,0.0,866,31,0.36318535174617467,0.3953094814429141,0.6334472731602888,0.2657613085140162,327.2727272727273,0.27
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=60_seed=10,reactive_gate,2.0,3.0,60,reactive_gate,10,672,545,14,0.025044722719141325,0.1111111111111111,545,142.0506414592819,2104.0188856259906,2.150626556202529,600.0000000000005,0,325,0,0,0,0.009812137518393679,0.278968854032709,4392991867.457843,0.0,0,0.0,0.0,0.0,0.0,722,55,0.4550645737180773,0.4771527358693384,0.5560020392749612,0.2909546974417754,297.2727272727273,0.18
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=1,reactive_gate,2.0,3.0,600,reactive_gate,1,612,481,8,0.016359918200409,0.05755395683453238,481,183.74351794825043,2026.2515319476013,36.075416285204945,600.0000000000005,0,275,2,0,0,0.002293752942857775,0.3834531660059622,3825261535.360533,0.0,0,0.0,0.0,0.0,0.0,719,78,0.490372617769548,0.5034143525480465,0.5925456461004274,0.23284405058247232,262.3636363636364,0.19
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=2,reactive_gate,2.0,3.0,600,reactive_gate,2,686,505,23,0.043560606060606064,0.15827338129496402,505,136.21848845082695,2650.420231334762,13.220337119563657,600.0000000000005,0,441,1,0,0,0.03575728021666863,0.32611115050014355,3119893561.482152,0.0,0,0.0,0.0,0.0,0.0,789,54,0.4132448160304662,0.43866344812649943,0.5769771789165696,0.27554822394642164,275.45454545454544,0.22
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=3,reactive_gate,2.0,3.0,600,reactive_gate,3,770,547,34,0.058519793459552494,0.20382165605095542,547,71.88616545998138,2995.366827201194,13.449700152596266,600.0000000000005,0,629,0,0,0,0.010754159957468739,0.45226894773077214,4098047803.623049,0.0,0,0.0,0.0,0.0,0.0,764,71,0.37905560191711135,0.41231851754449733,0.5727568699292606,0.23363404265085688,298.3636363636364,0.23
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=4,reactive_gate,2.0,3.0,600,reactive_gate,4,694,548,11,0.01967799642218247,0.06493506493506493,548,97.18746661054081,2126.1038767541254,6.566533044712428,600.0000000000005,0,246,0,0,0,0.01211005327617885,0.332524763705042,4547015017.7634945,0.0,0,0.0,0.0,0.0,0.0,702,48,0.47670071353247406,0.4876011275903928,0.5454517028983747,0.2652519136288878,298.90909090909093,0.19
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=5,reactive_gate,2.0,3.0,600,reactive_gate,5,957,686,46,0.06284153005464481,0.22330097087378642,686,69.38548480382019,4292.118722246882,25.131575473589162,600.0000000000005,0,1221,1,0,0,0.010024842739844447,0.26807443808692727,3542644386.100333,0.0,0,0.0,0.0,0.0,0.0,935,12,0.33469178457240006,0.3687421635822671,0.7165730958179553,0.29291038952521065,374.1818181818182,0.32
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=6,reactive_gate,2.0,3.0,600,reactive_gate,6,589,433,26,0.05664488017429194,0.18840579710144928,433,171.28564802068286,3617.5864169296065,35.35024090390952,600.0000000000005,0,581,1,0,0,0.011711534493841162,0.43724285680242564,3843184053.151242,0.0,0,0.0,0.0,0.0,0.0,723,45,0.3927417719586407,0.4274588213666243,0.5564612260465229,0.2383750817864833,236.1818181818182,0.21
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=7,reactive_gate,2.0,3.0,600,reactive_gate,7,734,528,19,0.03473491773308958,0.09947643979057591,528,134.3150302117392,2973.4406668561087,13.999219363525054,600.0000000000005,0,599,0,0,0,0.006163384992217265,0.35000071578282343,3619194192.2543106,0.0,0,0.0,0.0,0.0,0.0,790,40,0.39189354839465573,0.40634698758379356,0.5793531745054714,0.26119051845800384,288.0,0.22
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=8,reactive_gate,2.0,3.0,600,reactive_gate,8,823,612,38,0.05846153846153846,0.20689655172413793,612,90.50291748089558,3710.828089919185,10.532096647658168,600.0000000000005,0,805,1,0,0,0.018658506733300415,0.4644915465117478,4576186625.236017,0.0,0,0.0,0.0,0.0,0.0,841,23,0.3704588031219446,0.40719659560551746,0.6048160101900415,0.24013041869162374,333.8181818181818,0.24
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=9,reactive_gate,2.0,3.0,600,reactive_gate,9,818,600,37,0.058084772370486655,0.20218579234972678,600,136.70693662388658,3859.763608849215,18.298208414838555,600.0000000000005,0,846,0,0,0,0.024300576625548773,0.29627464946160526,4005628408.2983522,0.0,0,0.0,0.0,0.0,0.0,866,31,0.36318535174617467,0.3953094814429141,0.6334472731602888,0.2657613085140162,327.2727272727273,0.27
type=reactive_gate_rate_per_min=2.0_p_parallel_scale=3.0_h=600_seed=10,reactive_gate,2.0,3.0,600,reactive_gate,10,672,545,14,0.025044722719141325,0.1111111111111111,545,142.0506414592819,2104.0188856259906,2.150626556202529,600.0000000000005,0,325,0,0,0,0.009812137518393679,0.278968854032709,4392991867.457843,0.0,0,0.0,0.0,0.0,0.0,722,55,0.4550645737180773,0.4771527358693384,0.5560020392749612,0.2909546974417754,297.2727272727273,0.18
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=1,lease,2.0,1.0,60,lease,1,653,550,1,0.0018148820326678765,0.006289308176100629,550,177.8293106826468,1849.3699943946979,47.51095172642033,600.0000000000005,0,104,2,0,0,0.0016979015108530907,0.3518700517493614,2451367594.3130717,295.43304903517407,2,553.2465220576416,211.597506914022,81960.0,1205.1693024324006,301,86,0.6338876692962018,0.63535015316484,0.6849106301435832,0.28943871729604004,300.0,0.48
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=2,lease,2.0,1.0,60,lease,2,738,581,4,0.006837606837606838,0.028368794326241134,581,301.6780602655035,2023.6786678723602,62.168837595058044,600.0,0,282,3,0,0,0.0041352282271350845,0.3093771561582407,1039375680.1087064,0.0,0,470.3756200890766,348.83425977064644,78000.0,1606.1955894073858,249,33,0.47432866563480525,0.4777509420720502,0.7317373015289109,0.3083605028300679,316.90909090909093,0.53
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=3,lease,2.0,1.0,60,lease,3,809,626,13,0.02034428794992175,0.07100591715976332,626,149.40356729600427,2246.474689730978,52.74089239293513,600.0000000000005,0,425,1,0,0,0.002714122293032899,0.4110688229049597,2009152402.9655495,409.9256836424289,2,542.4546048502835,331.22959307671636,83340.0,1267.328782501818,271,28,0.4352475355545312,0.4483076948021212,0.6952379561884874,0.2904293317851245,341.4545454545455,0.55
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=4,lease,2.0,1.0,60,lease,4,762,655,5,0.007575757575757576,0.022727272727272728,655,136.53476481405323,1802.5045337129716,23.245250845770293,600.0,0,105,2,0,0,0.005631921645264867,0.3329189487009939,2302114295.648183,395.01508355306987,2,360.5976946279097,202.42937365675016,74820.0,809.7311735187569,257,57,0.6673033892418129,0.6726604686812588,0.6942103032731158,0.3309404212644112,357.2727272727273,0.48
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=5,lease,2.0,1.0,60,lease,5,1002,787,25,0.03078817733990148,0.10714285714285714,787,205.74856321173775,2767.788249361548,61.766781844579626,600.0000000000005,0,970,0,0,0,0.015546302535353579,0.2837032795238023,1960496010.746994,181.41944443956788,0,372.70994838404937,359.2926283135778,97560.0,2071.4422873093717,311,8,0.4025743397093304,0.41772729196852126,0.8351883567607162,0.3435825954860958,429.2727272727273,0.71
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=6,lease,2.0,1.0,60,lease,6,640,521,7,0.013257575757575758,0.0457516339869281,521,425.5891248134981,3048.7680259973176,47.21665871633631,600.0000000000005,0,334,1,0,0,0.004512271956207927,0.4051278618354102,2344463621.4563913,0.0,0,629.2705980498109,444.38988068387437,68880.0,1142.8763307081458,258,29,0.4991619966888782,0.5089282156732345,0.6572938692655724,0.2972398936070369,284.1818181818182,0.52
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=7,lease,2.0,1.0,60,lease,7,811,646,6,0.009202453987730062,0.02857142857142857,646,202.42572951731336,2030.0720675017828,67.41765157256316,600.0000000000005,0,355,4,0,0,0.004428261199852686,0.34953914578287837,1624183698.142509,252.3423827345955,1,643.4292201706618,489.17928319086013,90720.0,1442.320497677136,251,32,0.460824694313137,0.4676169370950071,0.7163072676282051,0.29317170146730037,352.3636363636364,0.56
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=8,lease,2.0,1.0,60,lease,8,884,714,9,0.012448132780082987,0.05,714,238.41610246959,2812.176191530851,24.325785562045365,600.0000000000005,0,572,0,0,0,0.009713359039435144,0.4408931048871262,2999055307.614233,300.36619139395407,2,500.8859026410421,442.66693020413595,87540.0,1728.2367861328394,302,19,0.4661403294116215,0.4748147605192117,0.7428768058550246,0.3200553792320467,389.4545454545455,0.6
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=9,lease,2.0,1.0,60,lease,9,855,673,18,0.02604920405209841,0.0962566844919786,673,328.2996038090794,2861.5563973359444,44.32874669599235,600.0000000000005,0,580,1,0,0,0.004812952643017438,0.3556526712740761,1666069686.997242,0.0,0,513.2286590955603,461.1999990905156,84060.0,1658.4462939043083,301,22,0.4339965847788079,0.44888125706680915,0.7750693336206618,0.3144824133835156,367.0909090909091,0.6
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=60_seed=10,lease,2.0,1.0,60,lease,10,722,619,3,0.00482315112540193,0.021897810218978103,619,238.10052307949718,2122.59193756783,54.91145117088856,600.0,0,109,0,0,0,0.002425661379147393,0.24648654621259092,1231330264.1307795,134.2020708941743,1,782.7951775615118,657.6830193480082,64020.0,1345.11122504464,250,29,0.5983185607404603,0.6018338077434069,0.737202778376716,0.36071361040780386,337.6363636363636,0.53
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=1,lease,2.0,1.0,600,lease,1,654,561,2,0.003552397868561279,0.012269938650306749,561,183.40286134093026,1586.3677658538854,60.98722706074678,600.0000000000002,0,82,0,0,0,0.002768957223101876,0.32477786055018026,2222313545.2109575,7151.71687269662,40,690.8837235547322,494.788831552549,824400.0,3445.6511905092075,300,66,0.655725316723189,0.6567095958743102,0.7172000106392451,0.29433962509985717,306.0,0.5
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=2,lease,2.0,1.0,600,lease,2,738,590,4,0.006734006734006734,0.027586206896551724,590,287.87811642192196,2362.215454009235,48.601026103829376,600.0000000000005,0,287,5,0,0,0.005886440910753498,0.34405263161867505,1171643065.6044376,4237.108340264094,28,915.18450413977,577.7342872393849,796200.0,9267.374644350411,247,32,0.48400687298258566,0.48817345207988105,0.7268841588076276,0.3136260655208231,321.8181818181818,0.54
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=3,lease,2.0,1.0,600,lease,3,809,623,12,0.01889763779527559,0.06547619047619048,623,161.85201251782178,2294.076371231107,55.82033153788846,600.0000000000005,0,416,1,0,0,0.0025949499275035514,0.40992695981341415,2213995103.6442924,4918.430787448926,36,1050.139178516833,493.14813531161235,844800.0,8678.150546210716,268,28,0.42539847473345754,0.43671127142802224,0.6986269544483295,0.29154057444526726,339.8181818181818,0.55
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=4,lease,2.0,1.0,600,lease,4,762,652,6,0.00911854103343465,0.02824858757062147,652,135.9702710784627,1907.359572222507,21.338144355925447,600.0,0,107,0,0,0,0.007809997977971874,0.32889975195952803,1968331769.1354578,3989.7608726106487,25,563.4654263833406,354.56073721203165,747000.0,1395.4789620381848,258,41,0.646578020638036,0.6521744041338793,0.7010435512739576,0.3262495254467007,355.6363636363636,0.5
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=5,lease,2.0,1.0,600,lease,5,1004,784,21,0.02608695652173913,0.09259259259259259,784,194.67196596830672,3097.3614468171236,80.76218885285186,600.0000000000005,0,966,1,0,0,0.007413429935733751,0.27202933025400444,1795623494.5189059,1262.265765500665,13,887.0151157421178,881.9175442785819,964800.0,15948.214523375893,300,5,0.39463859147201824,0.4097709410494723,0.8370363490068958,0.3402617417026723,427.6363636363636,0.72
type=lease_rate_per_min=2.0_p_parallel_scale=1.0_h=600_seed=6,lease,2.0,1.0,600,lease,6,645,521,7,0.013257575757575758,0.046052631578947366,521,373.58696780359696,2994.8310417087832,41.801822508363166,600.0000000000005,0,308,3,0,0,0.006037048762903764,0.40198192598371907,2387126638.7878656,2678.701953328776,13,1413.464167335579,1039.7786130119227,708600.0,5639.445413541913,263,22,0.5095703175309705,0.5195398723579209,0.6678518569711539,0.30075357104614076,284.1818181818182,0.5
